职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
商品数据分析,广州市戈诺伊服饰有限公司,5-8千,广州·番禺区,2年,大专,民营,150-500人,服装/纺织/皮革,https://jobs.51job.com/guangzhou/146405938.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coVjRWN1cxDzIDbg1oUTU.html
数据分析师,雪纤瘦纤体美容（深圳）有限公司,1.5-2.5万,深圳·福田区,5-7年,本科,外资（非欧美）,150-500人,美容/保健,https://jobs.51job.com/shenzhen/144790415.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coCW0FaABjBTtTMAxtXT4.html
数据分析经理-生活服务,字节跳动,3-4.5万,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/147172192.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
数据分析师（零售）,上海爱婴室商务服务股份有限公司,9千-1.3万·16薪,上海·浦东新区,3-4年,本科,已上市,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/147215415.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAGcAY1U1ATdTNQNj.html
数据分析专员,广东广信通信服务有限公司,9-12万/年,深圳·福田区,2年,本科,国企,5000-10000人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/147296629.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUjMAYlM1BTwEYgJnXTo.html
数据分析工程师,上海化工院检测有限公司,7千-1.2万,上海·普陀区,无需经验,本科,国企,150-500人,石油/化工/矿产/地质,https://jobs.51job.com/shanghai/140661976.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coVjVQM1M1Aj4GYA1pUzY.html
数据分析师-抖音生活服务,字节跳动,2.5-5万,成都,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/chengdu/145712474.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
高级数据分析师,唯品会（中国）有限公司,1-2万·16薪,广州·荔湾区,5-7年,本科,已上市,10000人以上,互联网/电子商务,https://jobs.51job.com/guangzhou/145852394.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coAWVSMVc9DjACYlM0VTk.html
资深商品数据分析员/主管,广州叡君服装有限公司,6-8千,广州·白云区,2年,大专,民营,150-500人,,https://jobs.51job.com/guangzhou/146569767.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coVTAHYlM0VGkHYQRuVzM.html
总行金融科技部-安全运营岗-安全数据分析方向,中国光大银行总行,,北京,2年,本科,国企,10000人以上,,https://jobs.51job.com/beijing/147583501.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coVDAHY1E6Bj9SNQ1nUzY.html
生活服务数据分析负责人-客服平台,字节跳动,4-7万,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/143172564.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
渠道策略分析师（数据分析）,索菲亚家居股份有限公司,1.5-2万,广州·天河区,5-7年,本科,已上市,10000人以上,家具/家电/玩具/礼品,https://jobs.51job.com/guangzhou/142610526.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coCW0HZgRjADlTNAdhAmM.html
医药运营数据分析专员,国药集团西南医药有限公司,6-7千,成都·武侯区,无需经验,本科,国企,500-1000人,制药/生物工程,https://jobs.51job.com/chengdu/143985944.html?s=sou_sou_soulb&t=0_0&req=a46b63d116cdf95da8da01a55d2e7e4a,https://jobs.51job.com/all/coCGwBbFIxUmoBZAFgVDY.html
