职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
PHP工程师,深圳市物华天宝软件有限公司,7千-1.2万,深圳·龙岗区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/148593743.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coUzMCYl4-U29VN1Q1VDU.html
PHP开发工程师,深圳市新知魔方科技有限公司,1-2万,深圳·宝安区,1年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/146234741.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVjdVMlA3BT1TNgdmBWk.html
PHP开发工程师（网站）,上海乐蜀网络科技股份有限公司,1.3-1.8万·13薪,上海,3-4年,本科,已上市,150-500人,网络游戏,https://jobs.51job.com/shanghai/148581158.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVDFdOVM2Aj0AZgJjBWU.html
PHP后端开发工程师,美陈网（上海）网络科技有限公司,1.2-1.5万,上海·普陀区,3-4年,本科,民营,50-150人,,https://jobs.51job.com/shanghai/140558045.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVTcAY1E1Az4FYwVkVzo.html
软件开发工程师,飞域（广州）国际贸易有限公司,1-1.5万,重庆·渝中区,5-7年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/147312718.html?s=sou_sou_soulb&t=0_1&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coUTFUNF81UmwPb1EzUTc.html
电商技术经理（神州鸿羽）,神州天立教育投资有限责任公司,1-1.6万·13薪,成都·青羊区,5-7年,本科,民营,10000人以上,房地产,https://jobs.51job.com/chengdu/142270087.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coCGpUN1cyAjUCYAZhUDc.html
IT开发主管,深圳市万联芯科技有限公司,1.5-2.5万,深圳·福田区,5-7年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/147953366.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coVjMFZwdhBDgPYgFjVDU.html
.NET开发工程师,广州紫麦科技有限公司,1.2-2万,广州·黄埔区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/146320644.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAWRVMAJoVWlSPlY2AGE.html
软件工程师,天津池边树科技有限公司,1.5-3万,深圳·福田区,2年,本科,民营,,计算机软件,https://jobs.51job.com/shenzhen/147780265.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coUzJdO1MwDzdVNlc9VDg.html
STEAM课程教学老师（金山区）,吉的堡教育集团,6-9千·13薪,上海·金山区,2年,本科,合资,1000-5000人,,https://jobs.51job.com/shanghai/146309722.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coBWdXMVc9AzpRMgRkVDc.html
运维工程师,百姓网,1.3-2万,上海·宝山区,3-4年,本科,已上市,150-500人,计算机软件,https://jobs.51job.com/shanghai/146953561.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coBmJXMV45Bj5SNQ1pUDE.html
Web前端工程师,深圳市百思泰科技有限公司,9千-1.3万,深圳·宝安区,1年,大专,民营,150-500人,汽车零配件,https://jobs.51job.com/shenzhen/147859503.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coAWVWOgNkBzAAbAFqVDY.html
C/C++开发工程师,上海阅维科技股份有限公司,1.3-2.5万,上海·静安区,3-4年,大专,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shanghai/106440819.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coVTECblU3UW0CYwZtVjE.html
IT工程师,星精机械（上海）有限公司,7千-1万·14薪,深圳·宝安区,3-4年,大专,外资（非欧美）,50-150人,机械/设备/重工,https://jobs.51job.com/shenzhen/148425168.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAmZRPQdjBzgHZARmUjc.html
技术总监,深圳市红色健康集团有限公司,20-25万,深圳·南山区,5-7年,硕士,民营,10000人以上,互联网/电子商务,https://jobs.51job.com/shenzhen/142434574.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coVjcAZ18_ATYGZQZkUDE.html
中级.NET开发工程师,广州紫麦科技有限公司,1.2-2万,广州·黄埔区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/146331129.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coAWRVMAJoVWlSPlY2AGE.html
Windows开发,浩通（上海）科技有限公司,3-4万,上海·松江区,8-9年,本科,已上市,150-500人,仪器仪表/工业自动化,https://jobs.51job.com/shanghai/135819675.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coAGVcOVYxDzMCbgFmUzM.html
Linux C/C++ 高级软件工程师,格尔软件股份有限公司,2.4-3万,上海,5-7年,本科,已上市,500-1000人,互联网/电子商务,https://jobs.51job.com/shanghai/129771270.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coCG9QNgdtATcFYFcx.html
服务端开发工程师 - 基础架构,字节跳动,2-4万,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/131621121.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
高级程序员-Digital(006804),美心食品（广州）有限公司,1.2-1.8万,广州·越秀区,3-4年,大专,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/guangzhou/146588642.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coA2dXNlYwVWIDZgds.html
web工程师（包食宿）,优普道信息科技（广东）集团有限公司,0.8-1万,广州·海珠区,无需经验,大专,民营,,计算机软件,https://jobs.51job.com/shenzhen/138903710.html?s=sou_sou_soulb&t=0_0&req=e669e07d75da694c51a0059e5a5c998e,https://jobs.51job.com/all/coBGQGawJjUWpUOQNkVzA.html
大数据工程师/架构师,潍坊赢启信息科技有限公司,3-5万·14薪,北京·朝阳区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/beijing/145714750.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coUzNUM1E3U2tUOQdjVzU.html
上海软件开发工程师 (网络安全工程师),重庆迈奥汽车设计有限公司,1.5-2.5万,上海·嘉定区,5-7年,大专,民营,50-150人,汽车,https://jobs.51job.com/shanghai/146467705.html?s=sou_sou_soulb&t=0_0&req=da0de2b15d3e74f9244f0012d8046a66,https://jobs.51job.com/all/coCGkGYFUzVm4BZANjXTs.html
