序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
1,Application Architect: Java & Web Technologies,IBM China,北京-朝阳区,外资（欧美）,2-4万/月,本科,5-7年经验,1000-5000人,五险一金 商业医疗保险 年度体检 绩效奖金 带薪年病假 国际化平台 尊重多元包容 工作生活平衡,11-21
2,Java微服务开发工程师,日立意必锐科技（成都）有限责任公司,成都-高新区,外资（非欧美）,0.8-1.5万/月,本科,1年经验,50-150人,周末双休 五险一金 带薪年假 出国机会 健康福利 员工旅游 通讯补贴,11-21
3,JAVA软件工程师,上海软华网络信息有限公司,上海-闵行区,民营公司,1-1.5万/月,本科,2年经验,少于50人,五险一金 绩效奖金 餐饮补贴 节日福利 带薪年假 全勤奖 做五休二 高温补贴 周末双休,11-21
4,Java开发工程师,品冠物联科技有限公司,无锡-无锡新区,民营公司,1-1.5万/月,本科,2年经验,50-150人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利,11-21
5,Java开发工程师,青岛华凌科技有限公司,青岛-市北区,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 节日福利 交通补贴 通讯补贴,11-21
6,Java高级程序员,南京普惠恒丰信息科技有限公司,南京,民营公司,2-2.5万/月,本科,3-4年经验,50-150人,五险一金 通讯补贴 餐饮补贴 加班补贴 绩效奖金 年终奖金,11-21
7,JAVA开发人员,天宇正清科技有限公司,郑州-管城回族区,民营公司,1-1.5万/月,大专,5-7年经验,500-1000人,五险一金 餐饮补贴 交通补贴 周末双休,11-21
8,Java高级开发工程师,西安创慧航天智能科技有限公司,西安-雁塔区,民营公司,1.2-1.8万/月,本科,5-7年经验,少于50人,五险一金 绩效奖金 定期体检 项目奖金 年终奖金,11-21
9,Java开发工程师（五险一金+双休+带薪年假）,武汉长江仪器自动化研究所有限公司,武汉-江岸区,国企,5-8千/月,大专,2年经验,少于50人,出国机会 五险一金 定期体检 年终奖金,11-21
10,软件工程师（Java）,上海遨问创业投资管理有限公司,上海-杨浦区,民营公司,1-2.5万/月,本科,1年经验,少于50人,五险一金 年终奖金 做五休二 带薪年假 节日福利 专业培训,11-21
11,Java开发工程师,优企创联信息技术有限公司,南京-建邺区,民营公司,1.2-2万/月,大专,3-4年经验,50-150人,做五休二 周末双休 全勤奖 节日福利 五险一金 员工旅游 弹性工作 专业培训,11-21
12,Java开发工程师,吉林省小河信息技术有限公司,长春-高新技术产业开发区,民营公司,3-6千/月,本科,2年经验,50-150人,五险一金 定期体检 节日福利 带薪年假 周六周日双休,11-21
13,Java高级开发工程师,江西源本浩科技有限公司,南昌,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 餐饮补贴 绩效奖金 带薪年假 周末双休 弹性工作 年终奖金 交通补贴 项目提成,11-21
14,Java开发工程师,江西微盛信息产业有限公司,南昌,民营公司,1-1.5万/月,大专,2年经验,少于50人,五险一金 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 餐饮补贴 员工旅游 周末双休 出差补助,11-21
15,Java开发工程师,滁州开拓者信息科技有限公司,滁州,外资（非欧美）,6-8千/月,大专,2年经验,,,11-21
16,Java软件开发工程师,上海易爱网络技术有限公司,上海-浦东新区,合资,0.6-1万/月,本科,2年经验,少于50人,五险一金 员工旅游 出国机会 年终奖金 弹性工作 极少加班,11-21
17,Java开发工程师,西格玛软件（江苏）有限公司,镇江-润州区,民营公司,0.6-1万/月,本科,1年经验,少于50人,周末双休 五险一金 年终奖金 节日福利 加班补贴,11-21
18,Java开发工程师,珠海智城信息技术有限公司,珠海,民营公司,0.8-1万/月,大专,1年经验,50-150人,五险一金 周末双休,11-21
19,Java高级开发工程师,北京医大时代科技发展有限公司,北京-海淀区,国企,2-2.5万/月,本科,5-7年经验,少于50人,五险一金 交通补贴 通讯补贴 餐饮补贴 定期体检 弹性工作 年终奖金,11-21
20,JAVA开发工程师,上海魅伽网络科技有限公司,上海-浦东新区,民营公司,1.5-2万/月,大专,3-4年经验,50-150人,,11-21
21,Java开发工程师,江苏赛姆沃德工程技术有限公司,南京-江北新区,民营公司,0.9-1.8万/月,本科,2年经验,少于50人,,11-21
22,Java/Web开发工程师,上海理泊软件科技有限公司,上海-宝山区,民营公司,0.5-1万/月,大专,1年经验,50-150人,,11-21
23,Java开发工程师,江苏德高物联技术有限公司,南通-崇川区,民营公司,4-8千/月,本科,1年经验,150-500人,节日福利 年终奖金 高温补贴 出差补贴 五险一金,11-21
24,002java开发工程师,正方软件股份有限公司,杭州,民营公司,1.5-2万/月,本科,3-4年经验,,,11-21
25,002Java开发工程师,杭州格原信息技术有限公司,杭州,民营公司,4.5-6千/月,本科,2年经验,,,11-21
26,高级Java开发工程师,中关村空间信息产业技术联盟,北京,民营公司,2.5-4万/月,本科,5-7年经验,,,11-21
27,高级JAVA软件工程师（深圳）,深圳怡化电脑股份有限公司,深圳,民营公司,1.8-3万/月,大专,3-4年经验,,,11-21
28,Java开发工程师,深圳华智融科技股份有限公司,深圳,民营公司,1.1-2万/月,本科,3-4年经验,,,11-21
29,Java开发工程师,皓量科技（深圳）有限公司,深圳,民营公司,1.5-2万/月,大专,3-4年经验,,,11-21
30,JAVA开发工程师,深圳市创新源供应链集成有限公司,深圳,民营公司,1-2万/月,本科,3-4年经验,,,11-21
31,JAVA开发工程师（青岛）,深圳高新兴神盾信息技术有限公司,青岛,民营公司,1-2万/月,大专,3-4年经验,,,11-21
32,JAVA后端开发工程师,深圳市中达瑞和科技有限公司,深圳,民营公司,1.5-3万/月,本科,3-4年经验,,,11-21
33,Java开发工程师,深圳市东晟数据有限公司,深圳,民营公司,1.5-2万/月,大专,2年经验,,,11-21
34,java后端工程师,深圳沈鼓测控技术有限公司,深圳,民营公司,1.4-1.8万/月,本科,2年经验,,,11-21
35,JAVA软件开发工程师,深圳新美装饰建设集团有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11-21
36,Java开发工程师,深圳壹零后信息技术有限公司,深圳,民营公司,1.5-2.5万/月,本科,3-4年经验,,,11-21
37,Java开发工程师,深圳市北辰德科技股份有限公司,南昌,民营公司,1-2万/月,本科,1年经验,,,11-21
38,java中级开发,深圳点筹农业供应链有限公司,深圳,民营公司,1.5-2万/月,本科,3-4年经验,,,11-21
39,java,深圳市先锋居善科技有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11-21
40,Java开发工程师,深圳高新区信息网有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11-21
41,中级JAVA开发工程师,深圳多智云技术有限公司,深圳,民营公司,1.5-2万/月,本科,5-7年经验,,,11-21
42,Java后端开发工程师,昇腾技术（深圳）有限公司,深圳,外资（非欧美）,1.5-2万/月,本科,1年经验,,,11-21
43,中级Java开发工程师,深圳市永兴元科技股份有限公司,深圳,民营公司,1.5-2万/月,大专,5-7年经验,,,11-21
44,java开发工程师,上海喆塔信息科技有限公司,合肥,民营公司,1.5-2万/月,本科,3-4年经验,,,11-21
