职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
高级前端工程师（电商-C端方向）,上海芮想信息科技有限公司,2-3.5万,上海·黄浦区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/148383078.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coB2RSNVA3AzlRPFY0XDE.html
C/C++/嵌入式开发工程师,上海思深宇维信息科技有限公司,6千-1.2万·13薪,上海,2年,大专,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/105171767.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coUTVQPFA1AzVUOFE3VTc.html
嵌入式、C/C++软件工程师,成都森川科技股份有限公司,1-2万·13薪,成都·高新区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/chengdu/140949376.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coUzcBYF49AzsCb1Q3XTA.html
Windows C/C++软件开发工程师,易士软件（上海）有限公司,2-4万,上海·徐汇区,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/chengdu/147397558.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coUzZcOVMxVmgBZVEyXD0.html
C/C++研发工程师,成都民航空管科技发展有限公司,15-30万/年,成都·武侯区,无需经验,本科,国企,150-500人,航天/航空,https://jobs.51job.com/chengdu/145890055.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coUzYBZFcyU2pSNwZlUjM.html
C/C++开发工程师,上海尔乐美讯文化传播有限公司,1.5-2.2万,上海·普陀区,3-4年,本科,民营,50-150人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/146031278.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coVjRRMVE6VmkFaAdnAGE.html
Type-C 硬件工程师,深圳市翊力鑫科技发展有限公司,7千-1.2万,深圳·宝安区,2年,中技/中专,民营,少于50人,贸易/进出口,https://jobs.51job.com/shenzhen/143029297.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coVTQGZlAxBj1VOAxqAm8.html
c/c++开发工程师,杭州博彦信息技术有限公司,2-4万·13薪,广州·黄埔区,3-4年,硕士,民营,5000-10000人,计算机软件,https://jobs.51job.com/guangzhou/147494282.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coUzdWNARkAjwGYAdiBWc.html
C/C++开发工程师,四川神琥科技有限公司,1.5-2.5万,成都·天府新区,2年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/chengdu/136690375.html?s=sou_sou_soulb&t=0_0&req=b7de8c2139abc93f417e6fb183dbfbea,https://jobs.51job.com/all/coCW0CYVQwBz9SP1cxAmc.html
C/C++开发工程师,上海春笛信息科技有限公司,1.3-2万,上海·浦东新区,3-4年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/145099630.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coVTdVMFEzUm5UMVE7VDI.html
C/C++开发工程师,北京聘多多科技有限公司,1.5-3万,成都,1年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/chengdu/141533666.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coVjZQNFMxBTkDZgBiB2I.html
C端产品经理,深圳市省油灯网络科技有限公司,1.5-2万,深圳·龙岗区,3-4年,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/143517095.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coVjNcMQdgDjVWNFQzB2Y.html
嵌入式软件开发工程师,杭州准芯生物技术有限公司,1.5-2.5万,杭州·滨江区,3-4年,本科,合资,50-150人,仪器仪表/工业自动化,https://jobs.51job.com/shanghai/144662229.html?s=sou_sou_soulb&t=0_1&req=89b8a9defe1d60d53dc9f4ed1d265235,https://jobs.51job.com/all/coA2BVMABkDjJWNAdlVzQ.html
业务员,广东富高贸易有限公司,5.9-6千·13薪,广州·黄埔区,1年,大专,民营,少于50人,建筑/建材/工程,https://jobs.51job.com/guangzhou/145850131.html?s=sou_sou_soulb&t=0_0&req=89b8a9defe1d60d53dc9f4ed1d265235,https://jobs.51job.com/all/coBGBdPFI3DjJRNQZkXTk.html
设备 工程师,喜士多便利店C-STORE-零售业-连锁,1-2万·13薪,上海·静安区,3-4年,大专,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/106739077.html?s=sou_sou_soulb&t=0_0&req=6b4bdc78e43dad45f766a734d3946819,https://jobs.51job.com/all/coAmZVMFM1ATlVNAVh.html
工艺工程师,C&D Technologies美国西恩迪技术有限公司,1-1.5万·13薪,上海·奉贤区,3-4年,本科,外资（欧美）,500-1000人,机械/设备/重工,https://jobs.51job.com/shanghai/145000453.html?s=sou_sou_soulb&t=0_0&req=6b4bdc78e43dad45f766a734d3946819,https://jobs.51job.com/all/coUzRRNQNoUWkDbwZm.html
ios开发工程师（XMJF1）(J10467),北京东方国信科技股份有限公司,1-1.5万,北京,1年,本科,已上市,5000-10000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/147102515.html?s=sou_sou_soulb&t=0_0&req=65914dc62b76ab7ab86df6d8949b5c47,https://jobs.51job.com/all/coAWYFYVc8DzFVMFA6.html
c/c++开发工程师,上海宝宏软件有限公司,8千-1.4万,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/148315927.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coBmIFaQRhUm1SNQNiXTk.html
急招C证货运司机,上海雷夏物流运输有限公司,1.1-1.8万,上海·嘉定区,无需经验,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/144893444.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
BASF-C&B Assistant (6 months),北京外企德科人力资源服务上海有限公司,6千-1.1万,上海·浦东新区,无需经验,本科,合资,1000-5000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/148551914.html?s=sou_sou_soulb&t=0_0&req=318ea9454fc76303b1144801f0138640,https://jobs.51job.com/all/coUzZRMARhUW9TNVc1XD8.html
外贸业务员（葡萄牙语）[北京-朝阳区-C],北京百事强贸易有限责任公司,8千-1.4万,北京·朝阳区,1年,本科,民营,50-150人,贸易/进出口,https://jobs.51job.com/beijing/144271053.html?s=sou_sou_soulb&t=0_0&req=318ea9454fc76303b1144801f0138640,https://jobs.51job.com/all/coUzNdP1MwBDNSNlYwAm8.html
嵌入式研发工程师（上海）,上海寰创通信科技股份有限公司,9千-1.8万·14薪,上海,1年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/143179479.html?s=sou_sou_soulb&t=0_0&req=4996d671aa01649769b8c4f4dac88369,https://jobs.51job.com/all/coBWFVMQNhAT0GZVczXDk.html
C/C++开发工程师(自研GUI平台),广州致远电子股份有限公司,1.3-2.5万·13薪,广州·天河区,2年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/guangzhou/124705212.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coAm1VMl8-Aj8GY1Qy.html
直招客运C证驾驶员免费住宿,苏州微微行汽车服务有限公司,1-1.5万,上海·宝山区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/wuxi/140446949.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
嵌入式C开发工程师,神州数码（中国）有限公司,1.3-2.2万,北京·通州区,2年,本科,民营,5000-10000人,计算机硬件,https://jobs.51job.com/beijing/147362633.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coAmZSNlAyAjwGZlM1AWQ.html
整车OS服务框架-资深C/C++软件开发,上海介方信息技术有限公司,3-6万·14薪,上海·闵行区,5-7年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/146010826.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coAGICZQBkVW0BZVAzAGE.html
C/C++开发工程师,深圳神盾卫民警用设备有限公司,1.5-2万·13薪,深圳·龙华区,2年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/146332358.html?s=sou_sou_soulb&t=0_0&req=d9a5ffc314eb3bf4b83b30bc25034296,https://jobs.51job.com/all/coVTACYVIzAz9SMQVlBWU.html
OpenStack云计算工程师,成都同辉数联信息技术有限公司,7千-1.4万,成都·武侯区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/chengdu/119851062.html?s=sou_sou_soulb&t=0_0&req=f46a35619149145d9a318298c01a724b,https://jobs.51job.com/all/coAmFWMgdsVWMCbgRuXTA.html
C/C++软件工程师,上海镌极特种设备有限公司,1.5-3万·13薪,上海·闵行区,2年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/145759995.html?s=sou_sou_soulb&t=0_0&req=9f043739f3b7715c1831ff98c8bf06cb,https://jobs.51job.com/all/coBWVdPlc2ATcFYFc2AGM.html
C C++ C#软件工程师,宝之捷（上海）信息技术有限公司,8千-1.5万·13薪,上海·浦东新区,1年,本科,外资（欧美）,少于50人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/145829499.html?s=sou_sou_soulb&t=0_0&req=b08d1bd52088f829bea5d9ee4502161b,https://jobs.51job.com/all/coB2JWM18-BzEFaQVk.html
内核研发 （C/C++）,北京海量数据技术股份有限公司,2-4万·13薪,广州,3-4年,本科,已上市,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/146919782.html?s=sou_sou_soulb&t=0_0&req=dc9590f47931ad16d04136da2fb5aeaf,https://jobs.51job.com/all/coAWRWNlcyAD4OagZsUzU.html
路由软件开发工程师,珠海迈科智能科技股份有限公司,1-2万·13薪,成都,2年,本科,民营,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/140784565.html?s=sou_sou_soulb&t=0_0&req=78c7fb5b441d37a8ff82e58120fa9613,https://jobs.51job.com/all/coAGRTP1U0AjxUOQBjAWI.html
资深Display系统软件工程师,芯原微电子（成都）有限公司,1.8-3.6万,成都·高新区,3-4年,本科,外资（欧美）,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/143886563.html?s=sou_sou_soulb&t=0_0&req=78c7fb5b441d37a8ff82e58120fa9613,https://jobs.51job.com/all/coAmcFaVYyAz1SMQNlAGY.html
C/C++开发工程师,成都卡诺普机器人技术股份有限公司,1.6-2.5万,成都·成华区,5-7年,本科,民营,150-500人,仪器仪表/工业自动化,https://jobs.51job.com/chengdu/140922945.html?s=sou_sou_soulb&t=0_0&req=d9840d9404ff168d68d2310a66e00a62,https://jobs.51job.com/all/coUzFUNFUzBjoEZFQ1Bmo.html
C/C++开发工程师,国科量子通信网络有限公司,1.3-2.3万·17薪,广州,3-4年,本科,国企,150-500人,通信/电信运营、增值服务,https://jobs.51job.com/guangzhou/146167939.html?s=sou_sou_soulb&t=0_0&req=d9840d9404ff168d68d2310a66e00a62,https://jobs.51job.com/all/coBGVTMl88VWpTPgBhBWU.html
嵌入式软件工程师,邦彦技术股份有限公司,1.5-2.5万,深圳·龙岗区,3-4年,本科,已上市,150-500人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/142586028.html?s=sou_sou_soulb&t=0_0&req=aecbeba302cc5a1a9205304167e55869,https://jobs.51job.com/all/coVjFRPFI2VGIAbAJo.html
C/C++软件开发工程师,上海商泰汽车信息系统有限公司,1.5-3万·14薪,上海·黄浦区,3-4年,本科,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/138083433.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coVDVSN146DzNVNQ1t.html
C端产品经理,深圳市省油灯网络科技有限公司,1.5-2万,深圳·龙岗区,3-4年,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/143517095.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coVjNcMQdgDjVWNFQzB2Y.html
嵌入式C/C++软件工程师,上海易咖智车科技有限公司,2-3万,上海·嘉定区,5-7年,本科,民营,150-500人,汽车,https://jobs.51job.com/shanghai/145104240.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coBmYGZAVlBT1RNwVlAWA.html
小型货车司机,深圳市彩煌实业发展有限公司,5-5.1千,深圳·龙华区,2年,初中及以下,民营,150-500人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/148564467.html?s=sou_sou_soulb&t=0_0&req=89b8a9defe1d60d53dc9f4ed1d265235,https://jobs.51job.com/all/coCWgBbVc2Bj0EZg1pVjs.html
财务助理,85度c,5-7千,上海·徐汇区,1年,大专,外资（非欧美）,10000人以上,餐饮业,https://jobs.51job.com/shanghai/144102547.html?s=sou_sou_soulb&t=0_0&req=303b858c6501fc3added205b5c028018,https://jobs.51job.com/all/coBmJQNVEzBToPagBhVjA.html
