,Unnamed: 0,工作名称,薪资,公司名称,工作地点,学历,详情页链接
28,28,JAVA开发工程师（中级）,7000,苏州路腾软件有限公司,苏州·工业园区,本科,https://jobs.51job.com/suzhou/108929085.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
29,29,JAVA开发工程师（中级）,16500,上海全晓信息技术有限公司,镇江·润州区,大专,https://jobs.51job.com/nanjing/146939337.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
30,30,JAVA开发工程师（中级）,16000,京北方信息技术股份有限公司,北京·朝阳区,本科,https://jobs.51job.com/beijing/146956729.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
31,31,JAVA开发工程师（中级）,11250,四川三维系统工程有限责任公司,成都·青羊区,大专,https://jobs.51job.com/chengdu/145373221.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
32,32,JAVA开发工程师（中级）,7000,广州金眼信息技术有限公司,清远,本科,https://jobs.51job.com/guangzhou/119944331.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
33,33,JAVA开发工程师（中级）,12000,南京云正数据科技有限公司,南京·栖霞区,本科,https://jobs.51job.com/nanjing/146972395.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
34,34,JAVA开发工程师（中级）,15000,深圳市聿风信息咨询有限公司,上海·浦东新区,本科,https://jobs.51job.com/shanghai/146973188.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
35,35,JAVA开发工程师（中级）,13000,深圳市网新新思软件有限公司,南京,大专,https://jobs.51job.com/shanghai/146958116.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
36,36,JAVA开发工程师（中级）,15500,上海艾佩菲宁互联网科技有限公司,上海·徐汇区,本科,https://jobs.51job.com/shanghai/141390395.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
37,37,JAVA开发工程师（中级）,8000,江苏德高物联技术有限公司,南通·崇川区,大专,https://jobs.51job.com/nantong/146579716.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
38,38,JAVA开发工程师（中级）,15000,广州智臣信息科技有限公司,广州·天河区,本科,https://jobs.51job.com/guangzhou/143865790.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
39,39,JAVA开发工程师（中级）,12500,广州南天电脑系统有限公司,珠海·香洲区,本科,https://jobs.51job.com/zhuhai/146958053.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
40,40,JAVA开发工程师（中级）,15000,广州广电运通金融电子股份有限公司,清远·清城区,本科,https://jobs.51job.com/qingyuan/146936607.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
41,41,JAVA开发工程师（中级）,11500,北京中保天和信息科技有限公司,广州·越秀区,本科,https://jobs.51job.com/guangzhou/141927192.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
42,42,JAVA开发工程师（中级）,12500,杭州辉电信息科技有限公司,绍兴·柯桥区,大专,https://jobs.51job.com/shaoxing/136363318.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
43,43,JAVA开发工程师（中级）,11500,易交易科技（深圳）有限公司,深圳·福田区,大专,https://jobs.51job.com/shenzhen/136120541.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
44,44,JAVA开发工程师（中级）,17000,南京智慧交通信息股份有限公司,南京·玄武区,本科,https://jobs.51job.com/nanjing/133491299.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
45,45,JAVA开发工程师（中级）,11500,石家庄西泰克电子科技有限公司,石家庄,本科,https://jobs.51job.com/shijiazhuang/98296734.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
46,46,JAVA开发工程师（中级）,15000,纬创软件（武汉）有限公司,武汉·东湖新技术产业开发区,大专,https://jobs.51job.com/wuhan/139471927.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
47,47,JAVA开发工程师（中级）,15000,深圳汐帆信息科技有限公司,东莞·黄江镇,大专,https://jobs.51job.com/dongguan/146979347.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
48,48,JAVA开发工程师（中级）,12000,广州赛意信息科技股份有限公司,深圳·南山区,大专,https://jobs.51job.com/shenzhen/104105724.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
49,49,JAVA开发工程师（中级）,9000,广州迷底商业管理有限公司,广州·白云区,大专,https://jobs.51job.com/guangzhou/145500790.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
50,50,JAVA开发工程师（中级）,8750,上海恒格信息科技有限公司,上海,本科,https://jobs.51job.com/shanghai/117579919.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
51,51,JAVA开发工程师（中级）,16500,上海全晓信息技术有限公司,镇江·润州区,大专,https://jobs.51job.com/zhenjiang/146939336.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
52,52,JAVA开发工程师（中级）,15000,上海泽鑫电力科技股份有限公司,南通·崇川区,本科,https://jobs.51job.com/shanghai/138887028.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
53,53,JAVA开发工程师（中级）,16500,上海复深蓝软件股份有限公司,上海,本科,https://jobs.51job.com/shanghai/146938749.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
54,54,JAVA开发工程师（中级）,19000,苏州猎巨头人力资源有限公司,北京·顺义区,本科,https://jobs.51job.com/beijing/146944246.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
55,55,JAVA开发工程师（中级）,3750,任仕达企业管理（上海）有限公司,上海,本科,https://jobs.51job.com/shanghai/146974101.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
56,56,JAVA开发工程师（中级）,17500,广州赛意信息科技股份有限公司,深圳·龙华区,本科,https://jobs.51job.com/shenzhen/136781907.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
57,57,JAVA开发工程师（中级）,11500,信雅达（杭州）计算机服务有限公司,合肥·滨湖新区,本科,https://jobs.51job.com/hefei/146932239.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
58,58,JAVA开发工程师（中级）,8750,浙江纽联科技有限公司,杭州·上城区,本科,https://jobs.51job.com/ningbo/142020626.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
59,59,JAVA开发工程师（中级）,15000,深圳汐帆信息科技有限公司,东莞·黄江镇,大专,https://jobs.51job.com/shenzhen/146979346.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
60,60,JAVA开发工程师（中级）,15000,上海泽鑫电力科技股份有限公司,南通·崇川区,本科,https://jobs.51job.com/nantong/138887030.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
61,61,JAVA开发工程师（中级）,12000,北京信普达系统工程有限公司,南京·浦口区,本科,https://jobs.51job.com/nanjing/119853416.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
62,62,JAVA开发工程师（中级）,11500,北京先进数通信息技术股份公司,桂林,本科,https://jobs.51job.com/guilin/131884594.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
63,63,JAVA开发工程师（中级）,10500,重庆新钶电子有限公司,成都·锦江区,本科,https://jobs.51job.com/chengdu/141700609.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
64,64,JAVA开发工程师（中级）,11250,杭州东显科技有限公司,杭州·上城区,大专,https://jobs.51job.com/hangzhou/146973400.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
65,65,JAVA开发工程师（中级）,14000,广州赛意信息科技股份有限公司,深圳·南山区,大专,https://jobs.51job.com/shenzhen/142401436.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
66,66,JAVA开发工程师（中级）,10250,鲁班软件股份有限公司,上海·静安区,本科,https://jobs.51job.com/shanghai/146935693.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
67,67,JAVA开发工程师（中级）,12500,云宏信息科技股份有限公司,广州·天河区,本科,https://jobs.51job.com/guangzhou/140013397.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
68,68,JAVA开发工程师（中级）,13000,宁波金唐软件有限公司,宁波,本科,https://jobs.51job.com/ningbo/125861441.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
69,69,JAVA开发工程师（中级）,10000,武汉市瑞思信息技术有限公司,武汉·洪山区,本科,https://jobs.51job.com/wuhan/128514808.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
70,70,JAVA开发工程师（中级）,8750,广州赛意信息科技股份有限公司,深圳·龙华区,本科,https://jobs.51job.com/shenzhen/140098684.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
71,71,JAVA开发工程师（中级）,9000,北京申云科技有限公司,北京·海淀区,大专,https://jobs.51job.com/beijing/130486635.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
72,72,JAVA开发工程师（中级）,14500,京北方信息技术股份有限公司珠海分公司,大连,本科,https://jobs.51job.com/dalian/146972801.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
73,73,JAVA开发工程师（中级）,9000,宁波金唐软件有限公司,成都·双流区,本科,https://jobs.51job.com/chengdu/134719748.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
74,74,JAVA开发工程师（中级）,15500,上海泽浪信息科技有限公司,上海·宝山区,大专,https://jobs.51job.com/shanghai/140524851.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
75,75,JAVA开发工程师（中级）,17500,杭州绿洁环境科技股份有限公司,杭州·拱墅区,本科,https://jobs.51job.com/hangzhou/146942452.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
76,76,JAVA开发工程师（中级）,17500,上海科越信息技术有限公司,上海·杨浦区,本科,https://jobs.51job.com/shanghai/145990507.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
77,77,JAVA开发工程师（中级）,9000,厦门为正生物科技股份有限公司,厦门·海沧区,本科,https://jobs.51job.com/xiamen/146988760.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
78,78,JAVA开发工程师（中级）,11500,深圳市泰比特科技有限公司,武汉·东湖新技术产业开发区,本科,https://jobs.51job.com/wuhan/135955568.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
79,79,JAVA开发工程师（中级）,12500,时粤科技(广州)有限公司,深圳·龙华区,大专,https://jobs.51job.com/shenzhen/146931645.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
80,80,JAVA开发工程师（中级）,8750,广州赛意信息科技股份有限公司,佛山·顺德区,本科,https://jobs.51job.com/guangzhou/145472133.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
81,81,JAVA开发工程师（中级）,16500,深圳万循科技有限公司,广州·海珠区,大专,https://jobs.51job.com/guangzhou/143202027.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
82,82,JAVA开发工程师（中级）,12500,成都开方数据科技有限公司,成都·武侯区,本科,https://jobs.51job.com/chengdu/146937881.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
83,83,JAVA开发工程师（中级）,9000,娉娉科技（广州）有限公司,广州·黄埔区,大专,https://jobs.51job.com/guangzhou/140020242.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
84,84,JAVA开发工程师（中级）,15000,南京绛门信息科技股份有限公司,保定,本科,https://jobs.51job.com/xiongan-xaxq/146964481.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
85,85,JAVA开发工程师（中级）,7500,武汉大工尹科技发展有限公司,武汉,本科,https://jobs.51job.com/wuhan/141638734.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
86,86,JAVA开发工程师（中级）,15000,杭州驿德科技有限公司,杭州·萧山区,本科,https://jobs.51job.com/hangzhou/122531497.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
87,87,JAVA开发工程师（中级）,12500,深圳市联云计算机科技有限公司,深圳·南山区,本科,https://jobs.51job.com/shenzhen/138081283.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
88,88,JAVA开发工程师（中级）,9500,南宁西岸枫谷商务数据有限公司,南宁,大专,https://jobs.51job.com/nanning/129526477.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
89,89,JAVA开发工程师（中级）,16000,广东华南水电高新技术开发有限公司,广州,本科,https://jobs.51job.com/guangzhou/132612735.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
90,90,JAVA开发工程师（中级）,15000,常州科睿达信息科技有限公司,无锡·无锡新区,大专,https://jobs.51job.com/wuxi/136270156.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
91,91,JAVA开发工程师（中级）,10500,中达安股份有限公司,广州·天河区,本科,https://jobs.51job.com/guangzhou/146935423.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
92,92,JAVA开发工程师（中级）,9000,优得新能源科技（宁波）有限公司,上海·长宁区,本科,https://jobs.51job.com/shanghai/146950828.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
93,93,JAVA开发工程师（中级）,12500,广州赛意信息科技股份有限公司,深圳·龙华区,大专,https://jobs.51job.com/shenzhen/135683270.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
94,94,JAVA开发工程师（中级）,16000,博彦科技广州有限公司,北京,本科,https://jobs.51job.com/beijing/146990236.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
95,95,JAVA开发工程师（中级）,12500,南京浩博科技有限公司,南京·玄武区,本科,https://jobs.51job.com/nanjing/146976320.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
96,96,JAVA开发工程师（中级）,8750,上海届远信息技术有限公司,上海·宝山区,大专,https://jobs.51job.com/shanghai/41468523.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
97,97,JAVA开发工程师（中级）,8700,上海艾融软件股份有限公司,武汉,大专,https://jobs.51job.com/wuhan/143132572.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
98,98,JAVA开发工程师（中级）,15000,嘉兴嘉赛信息技术有限公司,嘉兴·南湖区,本科,https://jobs.51job.com/jiaxing/99342613.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
99,99,JAVA开发工程师（中级）,6000,山东亚历山大智能科技有限公司,济南·历下区,本科,https://jobs.51job.com/jinan/145889109.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
100,100,JAVA开发工程师（中级）,9000,恩梯梯数据（中国）信息技术有限公司长春分公司,长春·净月经济开发区,大专,https://jobs.51job.com/changchun/145447111.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
101,101,JAVA开发工程师（中级）,17500,北京国药新创科技发展有限公司,武汉·东湖新技术产业开发区,本科,https://jobs.51job.com/wuhan/121337741.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
102,102,JAVA开发工程师（中级）,12500,北京联动北方科技有限公司,武汉·洪山区,本科,https://jobs.51job.com/wuhan/146931151.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
103,103,JAVA开发工程师（中级）,12500,京北方信息技术股份有限公司武汉分公司,珠海·香洲区,本科,https://jobs.51job.com/zhuhai/146984081.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
104,104,JAVA开发工程师（中级）,8750,广州赛意信息科技股份有限公司,佛山·顺德区,本科,https://jobs.51job.com/foshan/145472134.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
105,105,JAVA开发工程师（中级）,12500,无锡富瑞德测控仪器股份有限公司,无锡·锡山区,本科,https://jobs.51job.com/wuxi/141561372.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
106,106,JAVA开发工程师（中级）,14000,大连亿达信息技术有限公司深圳分公司,武汉·洪山区,本科,https://jobs.51job.com/wuhan/146932815.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
