,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
0,数据分析师,1万-2万,上海,不限,硕士,"['数据分析', '数据挖掘', '数据建模', 'SQL', 'Python']",好人生(上海)健康科技有限公司,民营 ,20-99人 ,上海,上海
1,数据分析师,1.2万-1.7万,上海-徐汇区,1-3年,本科,"['Python', 'Tableau', '描述统计', 'R', 'Excel', 'Power-BI']",西安万兴服务外包有限责任公司, ,20-99人 ,上海,上海
2,数据分析专员,7千-9千,上海,1-3年,本科,['数据分析'],上海乔治白实业有限公司,上市公司 ,100-299人 ,上海,上海
3,数据分析师,2万-3万,上海-杨浦区,不限,本科,"['Python', 'SQL', '回归分析', '方差分析']",上海八客信息科技有限公司,民营 ,1000-9999人 ,上海,上海
4,数据分析师,1.4万-2万,上海-宝山区,1-3年,本科,"['SQL', 'Python', 'Pandas', '决策树', 'SVM RNN', '神经网络', '传统算法模型', '数据建模']",成都奋途商贸有限公司,民营 ,100-299人 ,上海,上海
5,data scientist（数据分析）,1.9万-2.2万,上海-浦东新区,1-3年,本科,['Python'],宜通华瑞,民营 ,1000-9999人 ,上海,上海
6,销售数据分析Contingent Business Support,1.5万-2万,上海-黄浦区,1-3年,本科,"['Power BI', '制药/医疗', '数据分析']",科锐国际,合资 ,1000-9999人 ,上海,上海
7,Data Analysis数据分析专员,8千-1万,上海-长宁区,1-3年,本科,"['数据分析', '销售业务数据']",上海柏迦科技有限公司,合资 ,100-299人 ,上海,上海
8,数据分析助理经理(J12409),1万-1.6万,上海-长宁区,5-10年,本科,"['数据分析', '销售业务数据']",广州市斯凯奇商业有限公司,外商独资 ,500-999人 ,上海,上海
9,数据分析JC,2.5万-5万,上海,3-5年,本科,"['数据分析', '数据集市', '需求分析', 'SQL']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海,上海
10,销售数据分析（上海）,7千-9千,上海-长宁区,不限,本科,['数据分析'],北京腾龙时代通信技术有限责任公司,民营 ,20-99人 ,上海,上海
11,大数据分析工程师,1.3万-2.5万,上海,1-3年,本科,"['SQL', 'Python']",上海市新能源汽车公共数据采集与监测研究中心,社会团体 ,20-99人 ,上海,上海
12,数据分析（银行、早九晚五）,2万-3万,上海-浦东新区,5-10年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', 'SAS']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
13,数据分析师XK,2.5万-5万,上海,3-5年,本科,['数据分析'],中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海,上海
14,数据分析师+互联网运营+带薪培训+保障薪资8K,8千-1.6万,上海-杨浦区,不限,本科,"['决策树', '相关分析', '参数检验', '方差分析', '效度分析', '聚类分析', '因子分析']",上海链家地产,民营 ,10000人以上 ,上海,上海
15,系统分析岗（数据仓库）,1万-2万,上海-浦东新区,1-3年,本科,"['数据仓库', '需求分析', '模型设计', 'SQL']",国华人寿,股份制企业 ,1000-9999人 ,上海,上海
16,数据分析师(J10899),1.8万-2.5万,上海-静安区,3-5年,本科,"['数据分析', '金融', '证券从业资格证', 'Python', 'SQL', '证券数据分析', 'R']",光大证券,上市公司 ,1000-9999人 ,上海,上海
17,数据分析师,1.5万-2万,上海-浦东新区,1-3年,硕士,"['Python', 'SQL', '决策树', '回归分析', 'Spark', 'Kafka', 'Hadoop']",汇纳科技,上市公司 ,500-999人 ,上海,上海
18,数据分析岗CJ,2.5万-5万,上海,3-5年,本科,"['数据分析', '数据挖掘', '数据建模', 'SQL']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海,上海
19,数据分析,8千-1万,上海-浦东新区,1年以下,本科,['数据分析'],壬鼎实业(上海)有限公司,合资 ,300-499人 ,上海,上海
20,数据分析,6千-8千,上海,1-3年,本科,['数据分析'],旺旺集团,上市公司 ,10000人以上 ,上海,上海
21,数据分析师（BI）XD,2.5万-5万,上海,3-5年,本科,"['数据分析', 'BI']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海,上海
22,数据分析,6千-1万,上海-闵行区,1-3年,大专,"['数据分析', '商业数据分析', '市场数据分析', '运营数据分析', '销售数据分析']",安徽闳瑞幸成信息技术有限公司,民营 ,300-499人 ,上海,上海
23,数据分析,6千-1.2万,上海-长宁区,1-3年,大专,"['数据分析', 'CentOS', 'Windows', 'PPT', 'excel']",上海比滋特信息技术有限公司,民营 ,20-99人 ,上海,上海
24,数据分析,8千-1万,上海-徐汇区,1-3年,本科,['数据统计分析'],上海库智信息科技有限公司,外商独资 ,100-299人 ,上海,上海
25,数据分析,1万-1.8万,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', '金融数据分析']",智联猎头,上市公司 ,1000-9999人 ,上海,上海
26,数据分析,1.2万-2万,上海-闵行区,3-5年,本科,"['TO B', '大消费行业大数据项目']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,上海,上海
27,数据分析,1.6万-2万,上海,3-5年,本科,"['数据分析', '运营']",上海开州实业有限公司,民营 ,300-499人 ,上海,上海
28,数据分析,8千-1.3万,上海-浦东新区,3-5年,本科,"['数据分析', '销售业务数据']",上海美冠塔医院管理有限公司,民营 ,100-299人 ,上海,上海
29,数据分析,3万-3.5万,上海-静安区,3-5年,本科,"['Python', 'SQL']",卓一嘉越管理咨询(连云港)有限公司,股份制企业 ,20-99人 ,上海,上海
30,数据分析,1.2万-1.5万,上海-静安区,1-3年,本科,['数据分析'],东浩人力资源,国企 ,100-299人 ,上海,上海
31,数据分析,3.5万-4万,上海-长宁区,3-5年,本科,"['Python', 'SQL', 'R']",大连三林科技有限公司,民营 ,20-99人 ,上海,上海
32,数据分析助理,6千-8千,上海-徐汇区,不限,本科,['数据分析'],上海思勃商务咨询有限公司,民营 ,20-99人 ,上海,上海
33,数据分析岗,5千-8千,上海-浦东新区,不限,本科,"['数据分析', 'SPSS', '数据挖掘', 'Python', '机器学习', '数据建模', '数据治理', '行业分析']",上海数治数据科技有限公司,民营 ,20-99人 ,上海,上海
34,数据分析专员,8千-1.2万,上海,1-3年,本科,['数据分析'],南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海,上海
35,数据分析助理,7千-8千,上海-静安区,1年以下,大专,"['行业数据分析', '电商数据运营', '数据运营', '数据分析', '数据统计', '数据录入']",外企德科,合资 ,1000-9999人 ,上海,上海
36,数据分析助理,7千-9千,上海-徐汇区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
37,销售数据分析,8千-1万,上海-黄浦区,1-3年,本科,"['数据分析', '销售业务数据']",华润雪花啤酒(中国)有限公司,国企 ,10000人以上 ,上海,上海
38,数据分析专员,7千-9千,上海-普陀区,1年以下,大专,['数据分析'],品渥食品,上市公司 ,500-999人 ,上海,上海
39,数据分析岗,8千-1.2万,上海-浦东新区,1年以下,本科,['数据分析'],中联惠捷信息技术有限公司,民营 ,500-999人 ,上海,上海
40,数据分析专员,8千-1万,上海-徐汇区,1-3年,本科,['临床数据分析'],上海海天医药科技开发有限公司,上市公司 ,1000-9999人 ,上海,上海
41,数据分析助理,7千-9千,上海-静安区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
42,销售数据分析,8千-1万,上海,3-5年,大专,"['Tableau', '批发/零售']",旺旺集团,上市公司 ,10000人以上 ,上海,上海
43,数据分析助理,6千-8千,上海-浦东新区,1-3年,大专,"['数据分析', '数据治理', '数据仓库', '大数据平台', '数据架构']",深圳市千凌源科技有限公司,民营 ,100-299人 ,上海,上海
44,数据分析专员,6千-8千,上海-长宁区,1-3年,大专,"['SQL', '相关分析', '描述统计']",科锐尔人力资源服务(苏州)有限公司,上市公司 ,1000-9999人 ,上海,上海
45,数据分析师,6千-1万,上海-长宁区,1-3年,大专,"['PPT', 'Excel']",上海比滋特信息技术有限公司,民营 ,20-99人 ,上海,上海
46,数据分析专员,8千-1.1万,上海-静安区,不限,大专,"['SPSS', 'EXC;E']",上海埃帕信息科技有限公司,民营 ,100-299人 ,上海,上海
47,数据分析师,8千-1.2万,上海-徐汇区,不限,本科,"['Java', 'Shell', 'SQL', 'Scala', '回归分析', '决策树', '方差分析', '因子分析']",上海链家地产,民营 ,10000人以上 ,上海,上海
48,数据分析岗,8千-1.2万,上海-浦东新区,1年以下,本科,"['数据分析', '数据集市', '需求分析', 'SQL', '金融数据分析', '销售数据分析', '经营数据分析', '市场数据分析']",中联惠捷信息技术有限公司,民营 ,500-999人 ,上海,上海
49,市场数据分析,8千-1万,上海-长宁区,1-3年,本科,"['市场营销', '数据统计分析']",上海微盼智能科技有限公司,合资 ,100-299人 ,上海,上海
50,数据分析师,6千-8千,上海-静安区,不限,大专,"['数据分析', 'SQL', 'Python', '大数据分析', '需求分析', 'MySQL', '爬虫', '函数']",上海陶术生物科技有限公司,民营 ,100-299人 ,上海,上海
51,数据分析师,1万-2万,上海-浦东新区,3-5年,本科,"['数据分析', 'BI', 'SQL', 'Python', 'Tableau', 'Power BI', '经营数据分析', '运营数据分析']",上海祥承通讯技术有限公司,民营 ,300-499人 ,上海,上海
52,数据分析师,7千-9千,上海-普陀区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
53,数据分析师,8千-1万,上海,1年以下,本科,['数据分析'],上海科霏智能科技有限公司,合资 ,100-299人 ,上海,上海
54,外卖数据分析,8千-1万,上海-闵行区,3-5年,大专,['数据分析'],上海榕赢品牌管理有限公司,民营 ,300-499人 ,上海,上海
55,销售数据分析,6千-1万,上海-奉贤区,3-5年,大专,"['统计学', '数据分析', '销售业务数据', 'SQL']",上海雪榕生物科技股份有限公司,上市公司 ,1000-9999人 ,上海,上海
56,销售数据分析,1万-1.2万,上海-静安区,1-3年,本科,"['英语可作为工作语言', 'EXCEL熟练']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海,上海
57,数据分析师,8千-1万,上海-浦东新区,1-3年,大专,"['数据分析', '大数据分析']",上海菁淇信息科技有限公司,合资 ,100-299人 ,上海,上海
58,数据运营分析,8千-1.2万,上海-浦东新区,1-3年,本科,"['数据监控', '数据采集', '销售数据运营', '财务数据分析', '市场数据分析']",云竞(上海)电子科技有限公司,民营 ,500-999人 ,上海,上海
59,数据分析师,6千-8千,上海-闵行区,不限,大专,"['数据分析', '商业数据分析', '运营数据分析', '经营数据分析', '市场数据分析']",安徽闳瑞幸成信息技术有限公司,民营 ,300-499人 ,上海,上海
60,数据分析专员,8千-1.2万,上海-松江区,1-3年,本科,"['销售助理', '数据分析']",上海珂润箱包制品有限公司,民营 ,1000-9999人 ,上海,上海
61,市场数据分析,8千-1万,上海-浦东新区,1-3年,本科,['全职'],上海微盼智能科技有限公司,合资 ,100-299人 ,上海,上海
62,数据分析助理,6千-9千,上海-徐汇区,1-3年,本科,"['数据统计分析', 'excel']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海,上海
63,销售数据分析,6千-8千,上海-静安区,1-3年,本科,"['数据分析', '销售业务数据']",上海云盛科技发展有限公司,民营 ,20人以下 ,上海,上海
64,数据分析员,7千-8千,上海-虹口区,3-5年,本科,"['SAS', 'SPSS', 'Python', 'Matlab']",初岛(上海)供应链科技有限公司,合资 ,20-99人 ,上海,上海
65,销售数据分析,6千-8千,上海,不限,大专,"['金融业', '语音质检系统']",招商银行股份有限公司信用卡中心,股份制企业 ,1000-9999人 ,上海,上海
66,市场数据分析,8千-1万,上海-徐汇区,1-3年,本科,"['市场营销', '数据统计分析']",上海微盼智能科技有限公司,合资 ,100-299人 ,上海,上海
67,数据分析师,8千-1万,上海-浦东新区,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL']",中联惠捷信息技术有限公司,民营 ,500-999人 ,上海,上海
68,数据分析专员,7千-9千,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'Python', 'Excel']",上海威田资产管理有限公司,民营 ,500-999人 ,上海,上海
69,采购数据分析,6千-1万,上海-宝山区,1年以下,大专,"['生产型公司', '机械部件', '非生产性采购', '生产性采购']",上海金亭汽车线束有限公司,股份制企业 ,1000-9999人 ,上海,上海
70,数据分析员,8千-1.1万,上海-杨浦区,1-3年,本科,"['决策树', '回归分析', '相关分析', '信度分析', '非参数检验', '描述统计', '效度分析', 'ROC分析']",上海链家地产,民营 ,10000人以上 ,上海,上海
71,销售数据分析,6千-8千,上海,1-3年,学历不限,['数据分析'],上海通泽广告有限公司,民营 ,100-299人 ,上海,上海
72,数据分析师,8千-1万,上海,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL']",中联惠捷信息技术有限公司,民营 ,500-999人 ,上海,上海
73,数据分析师,6千-1万,上海-闵行区,不限,大专,['数据 分析  处理 工程师'],上海达质科技有限公司,民营 ,20-99人 ,上海,上海
74,财务数据分析,7千-8千,上海-浦东新区,不限,本科,['数据分析'],上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海,上海
75,销售数据分析,6千-9千,上海-闵行区,1-3年,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 ,上海,上海
76,数据分析工程师,6千-1万,上海-虹口区,1-3年,本科,"['数据分析', '数据采集', 'ETL', 'MySQL', 'Java', 'SQL', 'Tableau', 'HBase']",上海嘉勉信息技术有限公司,民营 ,20-99人 ,上海,上海
77,数据分析师,8千-1万,上海-浦东新区,1年以下,本科,['数据分析'],中联惠捷信息技术有限公司,民营 ,500-999人 ,上海,上海
78,数据分析（销售）,6千-8千,上海,3-5年,大专,['销售助理'],上海畅迪医疗科技有限公司,民营 ,20-99人 ,上海,上海
79,采购数据分析,6千-1万,上海-宝山区,1年以下,大专,"['生产型公司', '机械部件', '非生产性采购', '生产性采购']",上海金亭汽车线束有限公司,股份制企业 ,1000-9999人 ,上海,上海
80,数据分析咨询助理（上海电缆所）,8千-1.1万,上海-杨浦区,不限,本科,['数据挖掘'],申能集团,国企 ,500-999人 ,上海,上海
81,数据 分析师 运营师 统计师,1.5万-2.5万,上海-静安区,不限,本科,['数据分析'],喜士多,民营 ,1000-9999人 ,上海,上海
82,经营分析（北区分公司）,1万-1.5万,上海-静安区,1-3年,本科,"['销售业务数据', '数据分析']",中国联通上海分公司,国企 ,1000-9999人 ,上海,上海
83,数据开发工程师,1万-1.5万,上海-浦东新区,1-3年,大专,"['SQL', 'Hadoop', 'Kettle', 'Datastage']",南京云白信息科技有限公司,民营 ,20-99人 ,上海,上海
84,数据分析师(接受无经验),8千-1万,上海-徐汇区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
85,商业数据分析师,1.2万-1.6万,上海-浦东新区,1-3年,硕士,"['Python', 'Excel']",汇纳科技,上市公司 ,500-999人 ,上海,上海
86,助理 数据分析师,1万-1.5万,上海-静安区,不限,本科,['数据分析'],喜士多,民营 ,1000-9999人 ,上海,上海
87,业务数据分析岗,7千-1万,上海-浦东新区,1-3年,大专,"['数据分析', 'SQL', 'Python', 'EXCEL、PPT']",上海威田资产管理有限公司,民营 ,500-999人 ,上海,上海
88,初级数据分析师,6千-8千,上海,不限,本科,"['MySQL', 'excel']",上海同界数据科技股份有限公司,民营 ,20-99人 ,上海,上海
89,数据分析（销售支持）,6千-1万,上海,1年以下,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 ,上海,上海
90,数据库开发工程师,7千-1.4万,上海,1-3年,大专,"['SQL Server', '数据仓库', '数据处理', '数据分析']",郑州一迅软件科技有限公司,民营 ,20-99人 ,上海,上海
91,急聘：数据银行分析师(电商行业),8千-1.2万,上海,1-3年,大专,"['电商数据运营', '数据银行', '生意参谋', '新客策', '电商数据分析']",杰薄斯贸易(上海)有限公司,外商独资 ,100-299人 ,上海,上海
92,数据分析岗-浦东,8千-1.3万,上海-浦东新区,1-3年,本科,"['数据分析', '数理统计', 'excel', 'Python', 'Tableau']",上海威田资产管理有限公司,民营 ,500-999人 ,上海,上海
93,销售数据分析（消费者行为）,1万-1.2万,上海-浦东新区,不限,本科,"['数据分析', 'excel', '英语']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海,上海
94,电商运营 (数据分析),8千-1.2万,上海-长宁区,1-3年,大专,"['销售业务数据', '数据分析']",上海丸优贸易有限公司,合资 ,20-99人 ,上海,上海
95,统计分析员/数据统计专员 助理,5千-7千,上海-徐汇区,不限,高中,['电商数据运营'],上海芯捷计算机科技有限公司,民营 ,100-299人 ,上海,上海
96,网易游戏数据运维,9千-1.7万,上海-青浦区,不限,本科,"['SQL', 'Python', 'Hive', '舆情处置', '运营数据分析', '游戏运维', '网易大厂', '末日生存类游戏']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
97,BI报表开发工程师,1.5万-2万,上海,1-3年,本科,"['SQL', '数据治理', '报表开发', '数据挖掘', '数据采集', 'FineBI', 'SQL Server']",卫宁健康,民营 ,1000-9999人 ,上海,上海
98,供应链数据分析岗（美资头部服装企业）,1万-1.2万,上海-静安区,不限,本科,"['商业数据分析', 'excel', '销售数据运营', '经营数据分析', '市场数据分析']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 ,上海,上海
99,数据分析师（远程兼职）,1.2万-1.5万,上海-嘉定区,不限,本科,"['Python', 'SPSS', 'EVIEWS', 'Stata', 'R', 'Matlab']",苏州准雀教育咨询有限公司,民营 ,1000-9999人 ,上海,上海
100,数据分析师,8千-1.3万,上海-浦东新区,1-3年,本科,['多元统计分析'],上海蛮牛新能源科技有限公司,民营 ,20-99人 ,上海,上海
101,数据分析师（正编+早九晚五+待遇好）,1万-2万,上海-长宁区,不限,本科,"['数据分析', 'SQL', 'Python']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
102,数据分析主管,1万-1.5万,上海-普陀区,1-3年,大专,"['数据分析', 'Excel']",品渥食品,上市公司 ,500-999人 ,上海,上海
103,数据专员,6千-8千,上海,不限,本科,['office'],上海思勃商务咨询有限公司,民营 ,20-99人 ,上海,上海
104,中级数据统计分析师,1万-1.2万,上海,1-3年,本科,"['数据分析', '大数据分析', '数据挖掘', '市场数据分析', '经营数据分析']",韵达快递,上市公司 ,10000人以上 ,上海,上海
105,数据分析师,1万-1.7万,上海-闵行区,1-3年,本科,"['SQL', 'Excel']",微创软件,合资 ,10000人以上 ,上海,上海
106,电商数据分析师,1.5万-2.5万,上海-闵行区,1-3年,本科,['电商数据分析'],云南白药集团股份有限公司,股份制企业 ,1000-9999人 ,上海,上海
107,电商数据统计分析,5千-8千,上海,不限,大专,"['商业数据分析', '销售数据分析', '经营数据分析', '市场数据分析', '电商数据分析']",上海好玩聚儿童用品有限公司,国企 ,20人以下 ,上海,上海
108,数据分析师课程上海/培训招生,8千-1.2万,上海-黄浦区,不限,大专,"['Python', '数据挖掘', '数据清洗', '数据采集', '反爬虫', '分布式爬虫', '爬虫开发']",51Testing,民营 ,100-299人 ,上海,上海
109,数据分析专员,4千-5千,上海-静安区,无经验,本科,"['行业分析', '数据挖掘', '数据采集', 'SQL']",上海同界数据科技股份有限公司,民营 ,20-99人 ,上海,上海
110,【银行正编】数据分析师,1万-2万,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', '决策树', 'SAS', '电商数据分析', '金融数据分析']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
111,数据分析师(接受无经验),8千-1万,上海-黄浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
112,Power BI数据分析师,8千-1.4万,上海-静安区,1-3年,大专,"['Power BI', 'BI', '数据分析', '数据仓库']",敏捷艾科,民营 ,20-99人 ,上海,上海
113,数据分析专员,9千-1.5万,上海,1-3年,本科,"['数据分析', '数据挖掘', 'SQL']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海,上海
114,数据分析项目助理,7千-9千,上海-静安区,1-3年,本科,"['数据分析', 'MySQL', 'Python', 'Power BI', 'office']",上海同界数据科技股份有限公司,民营 ,20-99人 ,上海,上海
115,初级数据,7千-9千,上海-浦东新区,1-3年,本科,"['SQL', '数据库', '数据仓库', '数据分析']",博彦科技,上市公司 ,10000人以上 ,上海,上海
116,数据录入,6千-8千,上海-浦东新区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
117,数据专员,8千-1.1万,上海-静安区,不限,本科,"['SQL', 'Python', '数据分析', 'Power BI', 'Pandas', '数据清洗']",上海前途出国留学服务有限公司,民营 ,500-999人 ,上海,上海
118,风险策略分析师,2万-3万,上海-浦东新区,不限,本科,"['Python', 'SQL', 'SAS', '银行', '消费金融', '互联网金融', '风险策略', 'R']",北京安德信业信息咨询有限责任公司,民营 ,100-299人 ,上海,上海
119,电商数据经理,8千-1.2万,上海-徐汇区,1-3年,大专,['数据分析'],畅卉(上海)电子商务有限公司,民营 ,20人以下 ,上海,上海
120,财务数据分析师,1万-1.5万,上海-徐汇区,1-3年,大专,"['数据分析', '数据监控', '运营数据分析', '财务数据分析']",深圳市杰讯互联科技有限公司,民营 ,100-299人 ,上海,上海
121,数据分析师(接受无经验),8千-1万,上海-黄浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
122,数据分析师,1.1万-2.2万,上海-徐汇区,1-3年,本科,"['数据分析', 'SQL', 'Excel']",厦门真有趣信息科技有限公司,民营 ,300-499人 ,上海,上海
123,Power BI数据分析师-初级,5千-8千,上海-静安区,不限,大专,"['Power BI', 'BI', '数据分析', 'Tableau']",敏捷艾科,民营 ,20-99人 ,上海,上海
124,数据分析师,1万-1.5万,上海-浦东新区,1-3年,本科,"['埋点', '互联网产品', 'APP']",微创软件,合资 ,10000人以上 ,上海,上海
125,数据分析师,1.7万-2.7万,上海-浦东新区,不限,本科,"['Python', 'SQL']",宜通华瑞,民营 ,1000-9999人 ,上海,上海
126,数据工程师,1.5万-2万,上海-黄浦区,3-5年,本科,"['Kettle', 'Spark', 'Kafka', 'Hadoop', 'Flink', 'Datastage', 'FineReport (帆软)', 'HIVE']",南京云白信息科技有限公司,民营 ,20-99人 ,上海,上海
127,数据分析岗（催收策略方向）/周末双休/年终奖,1万-1.5万,上海-浦东新区,不限,本科,"['SPSS', '行业数据分析', '推广数据运营', '数据仓库建模', 'SQL']",平安金服,股份制企业 ,1000-9999人 ,上海,上海
128,Power BI数据分析师,5千-8千,上海-静安区,不限,大专,"['Power BI', '商业分析', '数据分析', 'BI', 'SQL', 'Excel']",敏捷艾科,民营 ,20-99人 ,上海,上海
129,数据分析岗,1万-1.5万,上海-浦东新区,1-3年,本科,"['数据分析', '运营数据分析', '经营数据分析']",智联猎头,上市公司 ,1000-9999人 ,上海,上海
130,电商数据分析师(J10708),1万-1.4万,上海,不限,本科,"['行业分析', '数据银行', '策略中心', '京东数坊']",特朗思大宇宙,外商独资 ,1000-9999人 ,上海,上海
131,销售运营（数据分析）,9千-1.7万,上海-浦东新区,1-3年,本科,"['绩效管理', '客户管理', '业务管理']",IQVIA 艾昆纬,外商独资 ,10000人以上 ,上海,上海
132,销售助理--销售数据分析,8千-1万,上海-徐汇区,不限,本科,['销售数据分析'],任仕达企业管理(上海)有限公司深圳分公司,外商独资 ,100-299人 ,上海,上海
133,数据分析岗,8千-1.5万,上海-金山区,1-3年,本科,['建筑业'],宏信建发,合资 ,1000-9999人 ,上海,上海
134,业务分析师（BA）,1.5万-2万,上海,1-3年,本科,"['统计学', '数据分析']",欣和企业,外商独资 ,1000-9999人 ,上海,上海
135,数据分析师,1万-1.6万,上海-浦东新区,不限,硕士,['Python'],上海优宁维生物科技股份有限公司,上市公司 ,500-999人 ,上海,上海
136,上市公司招数据分析师,8千-1.5万,上海-徐汇区,不限,本科,"['销售方向', '运营方向', '物流方向', '客服方向', '店长方向', '营销方向', '市场方向', '法务方向']",上海链家地产,民营 ,10000人以上 ,上海,上海
137,Data Analysis数据分析专员,8千-1万,上海-浦东新区,1-3年,本科,['IT/互联网'],上海柏迦科技有限公司,合资 ,100-299人 ,上海,上海
138,数据分析师（跨境电商）,1.5万-2.5万,上海-虹口区,1-3年,本科,"['Python', 'SQL']",维信金科,外商独资 ,1000-9999人 ,上海,上海
139,数据分析师(接受无经验),8千-1万,上海-杨浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 ,上海,上海
140,大数据开发工程师,6千-8千,上海-普陀区,不限,大专,"['大数据开发', '数据分析', 'Linux', 'Java']",上海上嵌信息科技有限公司,民营 ,100-299人 ,上海,上海
141,大数据分析师,1万-1.6万,上海-徐汇区,不限,本科,"['销售方向', '店长方向', '营销方向', '市场方向']",上海链家地产,民营 ,10000人以上 ,上海,上海
142,数据分析工程师-数据业务（上海）,1.5万-2万,上海,不限,本科,"['大数据', '数据挖掘', '车联网', '机器学习']",经纬恒润,民营 ,1000-9999人 ,上海,上海
143,销售数据分析员-汉高外包项目,7千-9千,上海-杨浦区,1-3年,本科,"['数据分析', '统计学']",电声股份,合资 ,1000-9999人 ,上海,上海
144,电商战略部-促销&利润分析主管,8千-1.2万,上海-静安区,1-3年,本科,['数据分析'],爱茉莉太平洋,外商独资 ,1000-9999人 ,上海,上海
145,数据分析师,1.3万-2万,上海-浦东新区,1-3年,本科,['Excel'],维恩贝特科技有限公司,民营 ,500-999人 ,上海,上海
146,电商数据分析专员,8千-1.2万,上海-静安区,3-5年,本科,"['SQL', 'Excel', '相关分析', '英语能力良好', '电商商城数据分析']",广州启全贸易有限公司,其它 ,500-999人 ,上海,上海
147,数据专员,1.2万-1.5万,上海-长宁区,1-3年,本科,"['SQL', 'Excel']",上海清赟医药科技有限公司,合资 ,500-999人 ,上海,上海
148,数据分析师,1.7万-2.6万,上海-黄浦区,3-5年,本科,"['数据分析', 'Python', 'SQL', 'CRM']",北京科诺思通咨询有限公司,外商独资 ,100-299人 ,上海,上海
149,财务数据分析,9千-1.5万,上海,3-5年,本科,['经营分析'],上海加冷松芝汽车空调股份有限公司,股份制企业 ,1000-9999人 ,上海,上海
150,数据分析师（策略管理方向/银行风控经验）,1万-1.5万,上海-浦东新区,不限,硕士,"['销售策略', '营销策略', '内容策略', '渠道策略', '用户策略']",平安金服,股份制企业 ,1000-9999人 ,上海,上海
151,市场分析调研专员,1万-1.3万,上海-闵行区,1-3年,大专,['市场调研分析'],上海宠博实业有限公司,民营 ,20-99人 ,上海,上海
152,商品货控,8千-1万,上海-长宁区,1-3年,大专,"['数据分析', '销售业务数据', 'EXCEL熟练']",上海丸优贸易有限公司,合资 ,20-99人 ,上海,上海
153,数据分析师,2万-2.5万,上海-闵行区,3-5年,本科,"['数据分析', '数据中台', '模型设计', 'BI']",快乐蜂餐饮集团,外商独资 ,1000-9999人 ,上海,上海
154,数据治理（待遇好+早9晚5+双休）,1.3万-2.1万,上海-浦东新区,不限,本科,"['数据治理', '数据分析', '数据仓库']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
155,初级数据,7千-9千,上海-浦东新区,1-3年,本科,"['SQL', '数据库', '数据仓库', '数据分析']",博彦科技,上市公司 ,10000人以上 ,上海,上海
156,BI工程师\数据分析\数据库,1.2万-2.2万,上海-浦东新区,3-5年,本科,"['Hive', '数据挖掘', 'Tableau', 'DB2', 'Impala', 'Python']",上海海万信息科技股份有限公司,民营 ,1000-9999人 ,上海,上海
