,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
2535,大数据开发工程师（天津）,1.3万-2.2万,天津-滨海新区,5-10年,大专,"['大数据开发', '数据分析', '大数据分析', 'Spark', 'Python']",昆山华信,民营 ,500-999人 ,天津,天津
2536,期货数据分析员,6千-1.1万,天津-滨海新区,1-3年,本科,"['数据分析', '证券从业资格证', '股票/期货分析']",秦皇岛市天晖塑料有限公司,民营 ,100-299人 ,天津,天津
2537,项目拓展/市场研究（专员）,8千-1万,天津-东丽区,3-5年,本科,"['市场研究', '项目拓展', '投拓']",南京垠坤,民营 ,1000-9999人 ,天津,天津
2538,环境大数据分析工程师,4千-6千,天津-东丽区,1-3年,本科,"['环境工程', '环境科学与工程', '大气科学', '数据分析', '环境科学', '环境生态学']",佳华科技,民营 ,500-999人 ,天津,天津
2539,状态监测分析师,1万-2万,天津-西青区,3-5年,本科,"['MATLAB', 'Java']",奥瑞(天津)工业技术有限公司,民营 ,300-499人 ,天津,天津
2540,机械设计大数据分析师,9千-1.2万,天津-河西区,不限,大专,"['R', 'SPSS', '机械结构设计', '机械编程']",北京浩彩信息科技发展有限公司,民营 ,20-99人 ,天津,天津
2541,大数据工程师,1万-1.5万,天津-河东区,3-5年,本科,"['SQL', 'Hadoop', 'Java']",凯美瑞德(苏州)信息科技股份有限公司,民营 ,500-999人 ,天津,天津
2542,财务人员（数据分析）,4千-6千,天津,1-3年,硕士,['财务分析'],天津市河北区德倍尔口腔门诊部有限责任公司,股份制企业 ,20-99人 ,天津,天津
2543,商品主管,4千-6千,天津,1-3年,大专,['医药行业'],天津市养天和津永新大药房连锁有限公司,股份制企业 ,100-299人 ,天津,天津
2544,风电数据分析工程师,1万-2万,天津-滨海新区,3-5年,本科,"['Java', 'Python']",中海油(天津)管道工程技术有限公司,其它 ,100-299人 ,天津,天津
2545,数据分析师课程tj/培训招生,8千-1.2万,天津-和平区,不限,大专,"['桥梁工程', '通信工程', '市政工程', '暖通工程', '民用建筑', '商业建筑', '住宅建筑', '结构工程']",51Testing,民营 ,100-299人 ,天津,天津
2546,数据治理经理,1.8万-2.8万,天津-滨海新区,5-10年,本科,['数据治理'],武汉时代地智科技股份有限公司,上市公司 ,100-299人 ,天津,天津
2547,机械设计大数据分析师,9千-1.2万,天津-河北区,不限,大专,"['R', 'SPSS', '机械结构设计', '机械编程']",北京浩彩信息科技发展有限公司,民营 ,20-99人 ,天津,天津
2548,中级SAS程序员,1.3万-1.7万,天津-和平区,1-3年,本科,"['SAS', '英语', 'GCP认证']",北京高博医院管理有限公司,民营 ,1000-9999人 ,天津,天津
2549,投行研究数据分析岗,8千-1万,天津,1-3年,硕士,"['行业分析', '商业分析', '数据分析', '数据处理', '需求分析', '人工智能']",允能众创投资管理(天津)有限公司,民营 ,20-99人 ,天津,天津
2550,天津-数据建模工程师,1.4万-2.8万,天津-河东区,3-5年,本科,"['Kafka', 'Spark', 'Hbase', 'SmartBI', 'Python', 'Kettle', 'R语言', 'FineReport (帆软)']",北京华路时代信息技术有限公司,民营 ,500-999人 ,天津,天津
2551,大数据工程师,1.4万-2.5万,天津-滨海新区,3-5年,本科,"['数据分析', '大数据分析', '大数据开发', '数据处理', '数仓开发', 'Hadoop', 'Kettle', 'ETL开发']",上海爱数信息技术股份有限公司,民营 ,1000-9999人 ,天津,天津
2552,财务经营数据分析岗,5千-1万,天津,5-10年,本科,"['分析报告', '财务分析', '财务体系', '财务预算', '经营分析', '收益分析', '财务报告', '会计中级职称']",天津市大桥道食品有限公司,民营 ,1000-9999人 ,天津,天津
2553,大数据信息技术专员,3千-6千,天津-西青区,不限,大专,['数据分析 数据处理'],天津图淼科技发展有限公司, ,,天津,天津
2554,建模工程师,1.5万-3万,天津-河东区,不限,学历不限,"['SQL', 'Python', '数据建模', 'B端产品', 'C端产品', '风控产品', 'BI', '数据开发']",趣街(天津)科技有限公司,民营 ,500-999人 ,天津,天津
2555,气象数据分析师,1.2万-1.8万,天津,不限,硕士,['Python'],天津云遥宇航科技有限公司,民营 ,20-99人 ,天津,天津
2556,数据管理员,5千-7千,天津-滨海新区,1-3年,本科,"['医学', '英语']",凯莱英生命科学技术（天津）有限公司,合资 ,1000-9999人 ,天津,天津
2557,高级SAS程序员(J11265),1.8万-2.3万,天津-和平区,3-5年,本科,"['SAS', 'NMPA', 'GCP认证', 'CDISC']",北京高博医院管理有限公司,民营 ,1000-9999人 ,天津,天津
2558,Python大数据分析特训营课程tj/培训招生,8千-1.2万,天津-和平区,不限,大专,"['仪器设计', '仪器质检', '仪器维修', '仪表设计', '仪表质检', '检测仪器仪表', '制药/医疗', '分析仪器仪表']",51Testing,民营 ,100-299人 ,天津,天津
2559,客研经理,1.5万-2万,天津-西青区,3-5年,本科,"['市场', '调研', '数据分析', '地产客研', '前策']",龙湖集团,上市公司 ,10000人以上 ,天津,天津
2560,大数据工程师,1.2万-1.8万,天津,5-10年,硕士,['数据统计分析'],中汽数据有限公司,国企 ,500-999人 ,天津,天津
2561,Sales Force Effectiveness（SFE）,1.8万-2.5万,天津-武清区,3-5年,本科,"['数据分析', '统计学', '销售业务数据']",华润生物医药(天津)有限公司,国企 ,100-299人 ,天津,天津
