职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
软件开发工程师,深圳绿威科技有限公司,1.6-3.2万,深圳·南山区,5-7年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/85825276.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coUjBWM1czUmlVNw1rB2o.html
设备开发（机械设计工程师）,广州市博迈立铖旧水坑电子厂,5-7千·13薪,广州·番禺区,1年,本科,外资（非欧美）,500-1000人,原材料和加工,https://jobs.51job.com/guangzhou/138252241.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coB2VSMFM3Bj4PblQwUT0.html
面料开发采购专员,华润纺织投资发展有限公司,7-8千,深圳·罗湖区,2年,本科,外资（非欧美）,5000-10000人,服装/纺织/皮革,https://jobs.51job.com/shenzhen/140647699.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coBGBQN1I5BDoOa1QwVTk.html
平台开发工程师,德特赛维技术有限公司,1.1-1.8万,成都·青羊区,2年,本科,合资,50-150人,计算机软件,https://jobs.51job.com/chengdu/147352136.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coBWdWNVUyATpRPFA0UzI.html
材料工艺开发工程师,广州市班兰家具有限公司,1-1.5万·13薪,广州,3-4年,本科,民营,150-500人,,https://jobs.51job.com/guangzhou/148603721.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coCGoBYFUyVmpSNgFmB2s.html
抖音/快手广告客户开发经理,深圳市渡渡鸟网络科技有限公司,8千-1.6万,深圳·福田区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/146656965.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coCGhWNgRkVGJVOQJnAWw.html
开发报建经理/主管,深圳市鸿荣源企业发展（集团）有限公司,1.5-3万,深圳·宝安区,5-7年,本科,民营,1000-5000人,房地产,https://jobs.51job.com/shenzhen/148641692.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coUT9QPAJnDzYBYQFi.html
单片机开发工程师（偏软件）,建辉塑胶电子实业（深圳）有限公司,1.2-1.8万,深圳·龙华区,2年,本科,外资（非欧美）,1000-5000人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/148567674.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coCG0HYVIyAT8HYFM4AGY.html
Android/安卓开发工程师,上海北芳国际物流有限公司,1-1.8万,上海·普陀区,1年,大专,民营,,交通/运输/物流,https://jobs.51job.com/shanghai/148363820.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coUjMCYQBqBjEAZgRvXT0.html
采购开发工程师,广东玛格家居有限公司,7千-1.2万,广州·天河区,2年,大专,民营,1000-5000人,家居/室内设计/装潢,https://jobs.51job.com/guangzhou/122369265.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coAGVdPlIxU2kBZwxpUDc.html
PD & Sourcing Merchandiser 采购开发,"宝礼行贸易（上海）有限公司 Polyconcept Trading (Shanghai) Co., Ltd.",8千-1.2万,上海·长宁区,3-4年,本科,外资（欧美）,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/shanghai/141514150.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coVTJUMgdtAzsGZlEy.html
