职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Python 开发工程师,深圳优奇智行科技有限公司,1.5-2.5万,深圳·坪山区,5-7年,本科,民营,150-500人,,https://jobs.51job.com/shenzhen/144097400.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coCWgAZ189DjlTMAFrVDM.html
Python开发工程师,宁波思艾特软件有限公司,1-1.5万·13薪,成都·武侯区,3-4年,大专,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/chengdu/137102692.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coUTRWO18-BDsDYFY2VTI.html
Python工程师,上海全晓信息技术有限公司,2-3.2万,上海·浦东新区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/146641351.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coBGRRNlY9UmwPbVY2Bms.html
后端开发工程师（Java/Python）,源恒税务师事务所有限公司,1-1.8万,广州·天河区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/146747602.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coCWgCZQBkDzMHZ1Q2XDo.html
Python软件开发工程师,上海铭剑电子科技有限公司,1.5-3万·13薪,上海·闵行区,5-7年,本科,民营,50-150人,通信/电信/网络设备,https://jobs.51job.com/shanghai/146916373.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coA2dRNl85AT8DYgZgXDs.html
Python开发工程师,成都国铁电气设备有限公司,7千-1.2万·14薪,成都·双流区,3-4年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/130770570.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coVjJUOVQ0ADhVNFAxXDE.html
Python数据工程师,深圳市正信软件有限公司,1-2万,深圳·南山区,2年,本科,民营,,计算机软件,https://jobs.51job.com/shenzhen/140476183.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coAGAGZABnAzUDbwFnVjE.html
Embedded Software Architect 嵌入式软件架构师,苏州瑞斯弗企业管理咨询有限公司,3-4万,上海,3-4年,本科,民营,50-150人,教育/培训/院校,https://jobs.51job.com/shanghai/139995024.html?s=sou_sou_soulb&t=0_0&req=353e6a5854ec77df2e5cf2da3c45134d,https://jobs.51job.com/all/coB2MCYV86DzgDZVQxUz8.html
数据工程师,深圳顺络电子股份有限公司,1-2万·14薪,东莞·塘厦镇,2年,本科,已上市,5000-10000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/141470060.html?s=sou_sou_soulb&t=0_1&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coVTtTMAdlAjQ.html
Python后端开发工程师,上海深鱼赛跑科技有限公司,1.5-3万,上海·浦东新区,无需经验,本科,民营,少于50人,,https://jobs.51job.com/shanghai/147179063.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coUTBVMlM2BDwAYwFrAm4.html
Python（Java）,上海复深蓝软件股份有限公司,2-3万·13薪,上海·浦东新区,5-7年,本科,已上市,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/146212334.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
Python后端开发工程师,上海悦米信息技术有限公司,1.8-2.8万,上海,3-4年,本科,合资,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/143515860.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coA2ZXOgRiBjkGZwRiBmc.html
Python开发工程师,必果文创（北京）科技有限公司,1.5-2.5万,广州·天河区,3-4年,本科,民营,50-150人,网络游戏,https://jobs.51job.com/guangzhou/146673252.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coUTBWMlUxDzEObANjUTQ.html
Python工程师,上海兴康医药研究开发有限公司,1.5-2.5万·13薪,上海·浦东新区,3-4年,本科,外资（非欧美）,少于50人,医疗/护理/卫生,https://jobs.51job.com/shanghai/141168256.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coVTZRNF45UWsBYVEwAGI.html
python-线上面试,上海复深蓝软件股份有限公司,1.5-2万,上海,3-4年,本科,已上市,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/142941221.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
python开发（RPA）,深圳华云信息系统有限公司,1-1.1万,深圳·福田区,3-4年,大专,民营,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/146969576.html?s=sou_sou_soulb&t=0_0&req=4ac0af42e7d14598e92c3d86c8016089,https://jobs.51job.com/all/coUjZRN1QwATtTNgxuBWg.html
Python全栈工程师,上海全晓信息技术有限公司,3-4万,上海·浦东新区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/146884430.html?s=sou_sou_soulb&t=0_0&req=35b36311f2f183359952bf175d2df60c,https://jobs.51job.com/all/coBGRRNlY9UmwPbVY2Bms.html
监控运维工程师,上海鸿帆网络科技有限公司,1.2-1.5万·13薪,上海·徐汇区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/137401501.html?s=sou_sou_soulb&t=0_0&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coVjZUOAdsBzlRMlAzUjA.html
ROS软件工程师,三一重工港机事业部,1.5-3万·16薪,珠海·金湾区,5-7年,本科,民营,1000-5000人,,https://jobs.51job.com/guangzhou/148554978.html?s=sou_sou_soulb&t=0_1&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coCW1dO1A0DjNWMVc3UTw.html
C开发程序员,北京天澹科技有限公司,1-2万,北京·东城区,2年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/beijing/148577629.html?s=sou_sou_soulb&t=0_0&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coBGYAZgJnVGoCY1QzUjE.html
测试开发工程师,上海畅联智融通讯科技有限公司,1.1-2.2万,上海·浦东新区,3-4年,本科,外资（非欧美）,150-500人,通信/电信/网络设备,https://jobs.51job.com/shanghai/142635101.html?s=sou_sou_soulb&t=0_0&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coAmdSNwBjU2QEYlM3UTE.html
测试工程师,联想中国PC及服务器工厂,10-15万/年,深圳·光明区,3-4年,本科,已上市,500-1000人,计算机硬件,https://jobs.51job.com/shenzhen/127612690.html?s=sou_sou_soulb&t=0_0&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coUjdVMlA7U2wFaVE6B2E.html
应用一线,上海届远信息技术有限公司,10-12万/年,上海·宝山区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/146034159.html?s=sou_sou_soulb&t=0_0&req=b8cbf5ce6a5243144b261a60d79906d2,https://jobs.51job.com/all/coUzAAbF49BDhSNQJn.html
数据分析师,上海优宁维生物科技股份有限公司,1-2万·13薪,上海,无需经验,本科,已上市,500-1000人,学术/科研,https://jobs.51job.com/shanghai/140161735.html?s=sou_sou_soulb&t=0_0&req=657fda01212ef1ad565cc1d1bdce1864,https://jobs.51job.com/all/coAmVdPgdhBT1TNQRiAWQ.html
