职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
嵌入式软件开发工程师（WIFI）,深圳市凯迪仕智能科技股份有限公司,1.5-3万,深圳·南山区,3-4年,本科,民营,1000-5000人,建筑/建材/工程,https://jobs.51job.com/shenzhen/141864267.html?s=sou_sou_soulb&t=0_0&req=4996d671aa01649769b8c4f4dac88369,https://jobs.51job.com/all/coAGVcOANgVWxSMVczXTo.html
Embedded Software Architect 嵌入式软件架构师,苏州瑞斯弗企业管理咨询有限公司,3-4万,上海,3-4年,本科,民营,50-150人,教育/培训/院校,https://jobs.51job.com/shanghai/139995024.html?s=sou_sou_soulb&t=0_0&req=89b8a9defe1d60d53dc9f4ed1d265235,https://jobs.51job.com/all/coB2MCYV86DzgDZVQxUz8.html
Lead Application Development Engineer P&C,迈图（上海）企业管理有限公司,2-4万·13薪,上海·浦东新区,10年以上,本科,外资（欧美）,500-1000人,石油/化工/矿产/地质,https://jobs.51job.com/shanghai/148010186.html?s=sou_sou_soulb&t=0_0&req=9d68d65c230c74a45927722c398c3f2a,https://jobs.51job.com/all/coCGxWMlY2Bz9VMABiVDg.html
C/C++开发工程师,武汉征原电气有限公司,7千-1万,北京,1年,大专,民营,500-1000人,机械/设备/重工,https://jobs.51job.com/wuhan/145621498.html?s=sou_sou_soulb&t=0_0&req=12ea85d263c1ceb5dde3e03dac1ff4a4,https://jobs.51job.com/all/coUzZTNlMwDzdRPAxsUjA.html
C/C++开发工程师,文思海辉技术有限公司,1.7-2万,上海·闵行区,5-7年,大专,外资（欧美）,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/143307990.html?s=sou_sou_soulb&t=0_0&req=fa1ad86adcc338a44d0d5b7c2df1847c,https://jobs.51job.com/all/coUjcCYFE2ATsCY1YyVjs.html
嵌入式软件工程师,上海潓美医疗科技有限公司,1.5-3万,上海·嘉定区,1年,本科,外资（非欧美）,150-500人,医疗设备/器械,https://jobs.51job.com/shanghai/143134403.html?s=sou_sou_soulb&t=0_0&req=68528609f8b9d6eb1c0a3154c303b188,https://jobs.51job.com/all/coVDFTNlE7AjQGZgRjUTc.html
C/C++开发（包食宿）,亿邦汇华（广州）科技有限公司,6千-1.2万,广州·海珠区,无需经验,大专,民营,,互联网/电子商务,https://jobs.51job.com/foshan/143118088.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBWRXM1Q-VWIObQNgXDA.html
智能C端宣传经理,粤港澳大湾区（广东）国创中心,15-30万/年,广州,1年,本科,事业单位,500-1000人,政府/公共事业,https://jobs.51job.com/guangzhou/146786492.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coAmNSMgVuU2sCbgdnVTQ.html
C/C++嵌入式软件工程师,成都佳明航电科技有限公司,1-1.5万·14薪,成都,1年,本科,外资（欧美）,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/146729731.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coVjJXNFI2BTgGZwRjVDE.html
运营总监（C端）,安行天下保险经纪（上海）有限公司,3-5万,上海,5-7年,本科,民营,50-150人,,https://jobs.51job.com/shanghai/127638244.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coAWFVMVU0BDlVOFY3BWc.html
c/c++开发工程师,上海宝宏软件有限公司,8千-1.4万,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/148315927.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coBmIFaQRhUm1SNQNiXTk.html
项目管理岗C,四川领致人力资源管理有限公司,8千-1万,成都·简阳市,3-4年,本科,民营,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/chengdu/148327211.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coB2cGYgJjAzxWMANkVDY.html
C&B Supervisor,亨氏（中国）投资有限公司,12-16万/年,上海·黄浦区,2年,本科,外资（欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/shanghai/146679275.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coCG0HYVUxBjgGYQVnVTk.html
C/C++软件开发工程师,上海商泰汽车信息系统有限公司,1.5-3万·14薪,上海·黄浦区,3-4年,本科,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/138083433.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coVDVSN146DzNVNQ1t.html
C&B Manager,华珵（广州）国际贸易有限公司,3-4万,广州,8-9年,本科,民营,1000-5000人,贸易/进出口,https://jobs.51job.com/guangzhou/146914238.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coA2NRM1YzDjRTNFY8UzE.html
金融电话销售c,小行家按揭（广州）信息咨询有限公司,1-1.5万,广州·天河区,无需经验,,民营,150-500人,金融/投资/证券,https://jobs.51job.com/guangzhou/134776237.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBmZTNlI4UmwPaAZgUDE.html
日薪700/C照货运司机,广州市润达物流有限公司,1.1-1.6万,佛山·顺德区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/145863866.html?s=sou_sou_soulb&t=0_1&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C/C++开发工程师,深圳市路远智能装备有限公司,2.2-3万,深圳·宝安区,5-7年,本科,民营,150-500人,机械/设备/重工,https://jobs.51job.com/shenzhen/147427826.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coA2AHagRnDzgDYQNlBWA.html
高级C/C++设备软件开发工程师,深圳市千里智能控制科技有限公司,1.5-3万·13薪,深圳·宝安区,2年,本科,民营,少于50人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/139582415.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coA2EBZFIxVW5UMwZmVzY.html
C++/QT软件开发工程师,广州南翼信息科技有限公司,1-2万,广州,3-4年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/143792810.html?s=sou_sou_soulb&t=0_0&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coUzYHY1Q1VW0BZANkVjI.html
iOS开发工程师,广东智意机器人科技有限公司,1.1-2.2万,中山·火炬开发区,1年,本科,民营,1000-5000人,多元化业务集团公司,https://jobs.51job.com/shenzhen/140554962.html?s=sou_sou_soulb&t=0_1&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coVDdTPgVgATcAbQ1qVTM.html
Java开发工程师,航天宏图信息技术股份有限公司,1-2万,成都·武侯区,3-4年,本科,已上市,1000-5000人,计算机软件,https://jobs.51job.com/chengdu/147073529.html?s=sou_sou_soulb&t=0_0&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coAWFQNwRmVWoEaAVmBWI.html
配送中心司机,广东寅源餐饮服务有限公司,4.5-4.8千,广州·花都区,1年,,民营,1000-5000人,餐饮业,https://jobs.51job.com/guangzhou/147813797.html?s=sou_sou_soulb&t=0_0&req=0f26112955d876a098fbfac401e2eca3,https://jobs.51job.com/all/coB2QCZgNkUmQBYQVjAmA.html
