,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
262,JAVA开发工程师,广东宏石激光技术股份有限公司,12000.0,佛山,3-4年,本科,民营,1000-5000人,机械/设备/重工,https://jobs.51job.com/guangzhou/148270004.html?s=sou_sou_soulb&t=0_1&req=5f04758f8da62f2bc90f48e6fc0af153,https://jobs.51job.com/all/coAWVSPwRhBD8FZwVkUjM.html
263,Java开发工程师,上海意鹰信息技术有限公司,16500.0,上海·徐汇区,5-7年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/140938434.html?s=sou_sou_soulb&t=0_0&req=e5c85b67d04da00012c999f70bd21687,https://jobs.51job.com/all/coAWFVNwNhBT9TMQ1uVTM.html
264,Java技术经理/架构师,上海同岩土木工程科技股份有限公司,3500.0,上海·杨浦区,5-7年,本科,民营,150-500人,建筑/建材/工程,https://jobs.51job.com/shanghai/146374227.html?s=sou_sou_soulb&t=0_0&req=87dd3fddbb2535f36fd0010035b96167,https://jobs.51job.com/all/coUTQCZgdjDzkCZQdn.html
265,中级Java开发工程师,上海维祥信息技术有限公司,20000.0,上海·杨浦区,3-4年,本科,民营,少于50人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/141363555.html?s=sou_sou_soulb&t=0_0&req=0a9081a3b2dfb0af8d41ffa96dc43239,https://jobs.51job.com/all/coCGxVNwJjAzsDZAdnAWc.html
266,高级Java开发工程师,成都拓达聚思力信息技术有限公司,8750.0,成都,3-4年,本科,外资（欧美）,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/136651465.html?s=sou_sou_soulb&t=0_0&req=ad98f152e2621ab16fd08555bfdcafe1,https://jobs.51job.com/all/coBWJWNVU2BzBWMQBjVzY.html
267,Java开发工程师,融捷教育科技有限公司,8750.0,北京·海淀区,1年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/beijing/141716677.html?s=sou_sou_soulb&t=0_0&req=f1d90fe7e6710c88288c915a9de3c876,https://jobs.51job.com/all/coAGUCbwBjUm8OagxnUTY.html
268,Java开发工程师,上海泰锌智能科技有限公司,17500.0,上海·徐汇区,2年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/106822057.html?s=sou_sou_soulb&t=0_0&req=c8ace8b18fb853d15d2cc23bc21dc822,https://jobs.51job.com/all/coAGUHYl45AzVRPQNnB2Y.html
269,应用开发经理（Java应用）,中银信息技术服务（深圳）有限公司,9000.0,深圳·罗湖区,5-7年,本科,外资（非欧美）,150-500人,银行,https://jobs.51job.com/shenzhen/146313705.html?s=sou_sou_soulb&t=0_0&req=f4824387a899abcf4fd5a59fe4894e50,https://jobs.51job.com/all/coCGwHalIzBzlSN1Y9.html
270,Java开发工程师,亚信科技CUC,13500.0,北京·大兴区,2年,本科,已上市,10000人以上,通信/电信运营、增值服务,https://jobs.51job.com/nanjing/141386878.html?s=sou_sou_soulb&t=0_0&req=368572fb7423b6365101b43c78e19c36,https://jobs.51job.com/all/coVjNTPlI2AT0PY1EwAGY.html
271,JAVA工程师（1-3年）,上海列顿信息科技有限公司,9000.0,重庆·九龙坡区,3-4年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/148419183.html?s=sou_sou_soulb&t=0_1&req=e1a647c9bef345f116a462e2e3ce7f64,https://jobs.51job.com/all/coUjddOFM0ATcFaVMyBWA.html
272,Java高级开发工程师,上海佳依佳信息科技有限公司,6600.0,上海·浦东新区,3-4年,本科,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shanghai/132649453.html?s=sou_sou_soulb&t=0_0&req=272453eb61345482028563c7463dac90,https://jobs.51job.com/all/coVTJXMVY9Bz0GZABgVDI.html
273,Java软件开发工程师,深圳壹连科技股份有限公司,12500.0,深圳·宝安区,3-4年,本科,民营,1000-5000人,新能源,https://jobs.51job.com/shenzhen/147272871.html?s=sou_sou_soulb&t=0_0&req=03ad68717ce8c6a4bc35f72cd49cbda9,https://jobs.51job.com/all/coVjcGZAJpBDw.html
274,Java高级开发工程师,广州芳禾数据有限公司,9000.0,广州·番禺区,5-7年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/139873651.html?s=sou_sou_soulb&t=0_0&req=c77a2612d953205784c7bd898d55034f,https://jobs.51job.com/all/coCGkBZFI1ADwPaAJoUTY.html
275,Java高级开发工程师,上海海旭软件有限公司,8750.0,上海·浦东新区,5-7年,本科,民营,50-150人,,https://jobs.51job.com/suzhou/147810525.html?s=sou_sou_soulb&t=0_0&req=7dcd6e1a4776731d73c7658919d8cdcc,https://jobs.51job.com/all/coBmNdOlc9ADxUOQ1sAmY.html
276,Java开发工程师,南京国睿信维软件有限公司,12500.0,北京·石景山区,3-4年,本科,国企,500-1000人,计算机软件,https://jobs.51job.com/nanjing/148087624.html?s=sou_sou_soulb&t=0_0&req=ba65ffd7706ccf583750f5245f7a7c82,https://jobs.51job.com/all/coAGRWNFY3BjpTMwJmVzM.html
277,高级Java工程师,深圳中泓在线股份有限公司,50000.0,深圳,5-7年,本科,已上市,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/140992607.html?s=sou_sou_soulb&t=0_0&req=4a635284faadfc8591d13f7158bbeae4,https://jobs.51job.com/all/coA2dRMFE1U2RVNVA6UTM.html
