,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
551,软件工程师,深圳益国电子科技有限公司,9000.0,深圳·宝安区,1年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/148028536.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coA2NQNVY3AjUBZQVlAWY.html
552,算法工程师,深圳半岛医疗有限公司,3250.0,深圳·宝安区,3-4年,本科,民营,500-1000人,医疗设备/器械,https://jobs.51job.com/shenzhen/118101475.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coCG1SMwRjBj9WMFQ1VjM.html
553,Software Engineer 软件开发工程师 (MJ000030),维宁尔（中国）电子有限公司,28000.0,上海·闵行区,3-4年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/shanghai/141862623.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coVjVXM1Y8BD8EZAZtVTQ.html
554,产品经理,上海千熠信息科技有限公司,17500.0,上海·虹口区,1年,本科,民营,150-500人,金融/投资/证券,https://jobs.51job.com/shanghai/116803995.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coUzEAbQRnVmtRMgZnVTA.html
555,C/C++开发工程师,北京合志可成科技有限公司,9400.0,上海·松江区,无需经验,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/146394259.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coUTNUMAVhBTtRNw1oBmA.html
556,资深嵌入式软件工程师,德浦勒仪表（广州）有限公司,9000.0,广州·黄埔区,5-7年,本科,民营,少于50人,仪器仪表/工业自动化,https://jobs.51job.com/guangzhou/147429038.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coAmNSM14_VW1WMgRvVzU.html
557,C开发工程师,京北方信息技术股份有限公司上海分公司,19000.0,上海,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/148376441.html?s=sou_sou_soulb&t=0_0&req=74d18df95e8bc16d130e86153dfe8774,https://jobs.51job.com/all/coVDBQNwViBDNWMgNlXDs.html
558,招C 1证专车司机,上海杰华汽车租赁有限公司,13000.0,上海·宝山区,无需经验,,民营,50-150人,租赁服务,https://jobs.51job.com/shanghai/138690850.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coVTVXOlI5VW8DZlcyVzM.html
559,嵌入式软件工程师,上海泗博自动化技术有限公司,8900.0,上海,2年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/103498916.html?s=sou_sou_soulb&t=0_0&req=ebd58830935e8414d45fa925cef480f8,https://jobs.51job.com/all/coUzFcP148VG5SNQdj.html
560,时间自由 诚招C照小货车司机,广州市润达物流有限公司,13500.0,广州,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146682233.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
561,嵌入式Linux C开发工程师,北京华信傲天网络技术有限公司,15000.0,北京·海淀区,3-4年,本科,合资,150-500人,计算机软件,https://jobs.51job.com/beijing/146844119.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coUzJdOFY0ATgPb1Q2AmE.html
562,上海C&S销售代表 (MJ003713),嘉士伯企业管理咨询有限公司,8000.0,上海·黄浦区,2年,大专,外资（欧美）,10000人以上,,https://jobs.51job.com/shanghai/143035273.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coA2MCb1E0U2sCblcxVzQ.html
563,C端电商运营经理,广东万药科技有限公司,15000.0,广州·白云区,1年,,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/139336955.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coCWgFYQBkBT1WNVMzB2c.html
564,C照司机公司直招,广州市润达物流有限公司,13500.0,广州·黄埔区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/147039720.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
565,高级C/C++  /QT开发工程师,成都海特讯息科技有限公司,7750.0,成都·武侯区,2年,本科,民营,少于50人,,https://jobs.51job.com/chengdu/144287496.html?s=sou_sou_soulb&t=0_0&req=c9d9113b4284e34232fae88cf3ac21a5,https://jobs.51job.com/all/coUzICYgNpBjFUOQZgB2M.html
