职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Java软件工程师,雅安百图高新材料股份有限公司,1-1.8万,成都,3-4年,本科,民营,150-500人,原材料和加工,https://jobs.51job.com/chengdu/146632063.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coCGtXMwNiDjlUMgJoXDg.html
Java全栈工程师,清能艾科（深圳）能源技术有限公司,1.5-2.5万,深圳·南山区,1年,本科,创业公司,少于50人,环保,https://jobs.51job.com/shenzhen/146129126.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coB2VXMlY9AT9WMFczAGI.html
技术经理（C#/Java/全栈）,广东星层建筑科技股份有限公司,1.7-2.5万,广州·海珠区,5-7年,本科,民营,50-150人,建筑/建材/工程,https://jobs.51job.com/guangzhou/139158798.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coUTRTP181DzVVMgZmBWg.html
Java高级开发工程师,深圳市成为信息股份有限公司,1.3-2万,深圳·宝安区,3-4年,本科,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/147511452.html?s=sou_sou_soulb&t=0_0&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coVDBXMARiBj4BZFQyAWE.html
Java开发工程师,上海豪亿信息科技有限公司,7千-1.2万,上海·松江区,2年,大专,民营,500-1000人,通信/电信/网络设备,https://jobs.51job.com/shanghai/146809043.html?s=sou_sou_soulb&t=0_0&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coUTJcMFIzADtUNgZgBWA.html
Java开发工程师,上海颜惊泓企业管理有限公司,2-4万,上海·普陀区,3-4年,大专,民营,50-150人,教育/培训/院校,https://jobs.51job.com/shanghai/145667836.html?s=sou_sou_soulb&t=0_0&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coBWQGZwBmDjYCZwNmAWM.html
Java开发工程师,金蝶软件（中国）有限公司佛山分公司,8千-1.6万·14薪,佛山·南海区,1年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/guangzhou/143122492.html?s=sou_sou_soulb&t=0_1&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coVTUBYgRkUmkHalM3XDg.html
Java开发工程师,希亚思（上海）信息技术有限公司,8千-1.6万,上海·杨浦区,3-4年,大专,外资（非欧美）,50-150人,,https://jobs.51job.com/shanghai/136731630.html?s=sou_sou_soulb&t=0_0&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coB2BWMAdkUmtWMgVi.html
JAVA工程师,广东司农会计师事务所（特殊普通合伙）,1.2-1.5万·13薪,广州·天河区,3-4年,本科,民营,150-500人,会计/审计,https://jobs.51job.com/guangzhou/146269427.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coAmIHYARnAThSNgBnUTM.html
JAVA后端开发工程师,上海安维尔信息科技股份有限公司,1.5-3万·13薪,上海·浦东新区,5-7年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/138241168.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coVTFSNARiBDsFY1Y3AmQ.html
Java开发工程师,通联支付网络服务股份有限公司广东分公司,9千-1.4万·14薪,广州·天河区,1年,本科,,1000-5000人,互联网/电子商务,https://jobs.51job.com/guangzhou/137942613.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coA2dVOVAyBzxSNgxmUDc.html
Java软件开发工程师,上海金电网安科技有限公司,8千-1.5万,上海·浦东新区,2年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/138719421.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coBmFVNlI2BDhSNAJh.html
java开发工程师（上海）,上海清鹤科技股份有限公司,1-2万,上海·浦东新区,无需经验,本科,合资,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/137543803.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coBGBWNVYzUmRRN1c1AGc.html
Java工程师（兼C开发,深圳市雷摩电子有限公司,1.2-1.8万,深圳·宝安区,3-4年,大专,民营,50-150人,新能源,https://jobs.51job.com/shenzhen/141170213.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coBWAGZlYxUWYGZAFgUzQ.html
Java开发工程师,广州以大计算机科技有限公司,7千-1.4万,广州·天河区,2年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/78727249.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coAmYCZgJgBj8EYgBgUjU.html
Java后端开发岗（电信天翼）,广东邮电人才服务有限公司,1.5-2.5万,广州·海珠区,5-7年,本科,国企,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/148476462.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coUTQGZVY2BT9WMAdj.html
软件开发工程师（Java）,上海计算机软件技术开发中心,1-2万,上海·静安区,1年,本科,事业单位,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/138110738.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coB2ICY1M4DjZRPVAzAGU.html
Java开发工程师,深圳市都市交通规划设计研究院有限公司,1-2万,深圳·南山区,2年,本科,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/shenzhen/142084777.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBGZVOQNiVmAAZ1Q-UDM.html
Java（物流系统）,深圳建广数字科技有限公司青岛分公司,1.5-1.8万,成都,5-7年,本科,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/chengdu/148496521.html?s=sou_sou_soulb&t=0_0&req=ec88fe7fba744bf5033e80c8efb21e06,https://jobs.51job.com/all/coAWBUNVAwUW8BbFQ2UjU.html
Java工程师,深圳枫叶教育集团有限公司,2-2.5万,深圳·龙岗区,5-7年,本科,民营,5000-10000人,教育/培训/院校,https://jobs.51job.com/shenzhen/148508299.html?s=sou_sou_soulb&t=0_0&req=ec88fe7fba744bf5033e80c8efb21e06,https://jobs.51job.com/all/coUTFVNlA6BDkCYwVuVjU.html
Java软件工程师,江西瑞德电子有限公司深圳分公司,1-2万,苏州·高新区,5-7年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/148532338.html?s=sou_sou_soulb&t=0_1&req=ec88fe7fba744bf5033e80c8efb21e06,https://jobs.51job.com/all/coBGRdMVQ-UWtTNwFrUTw.html
Java游戏主程,娉娉科技（广州）有限公司,2-3万,广州·黄埔区,5-7年,大专,民营,少于50人,,https://jobs.51job.com/guangzhou/140024973.html?s=sou_sou_soulb&t=0_0&req=ec88fe7fba744bf5033e80c8efb21e06,https://jobs.51job.com/all/coVTACYFcxUWYBbVAwXD4.html
Java高级软件开发工程师,上海亿业网络科技发展有限公司,1.5-3万,上海·浦东新区,3-4年,本科,合资,50-150人,计算机软件,https://jobs.51job.com/shanghai/125806373.html?s=sou_sou_soulb&t=0_0&req=8133f29e70fb871919968108643f360b,https://jobs.51job.com/all/coCGxUMARkUmUHYVMyAGY.html
Java中级开发工程师,深圳叮当科技技术有限公司,1-1.5万,深圳·福田区,2年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/133193027.html?s=sou_sou_soulb&t=0_0&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coUjIHYwBjUmxWNwRgUj8.html
大数据项目JAVA开发工程师 -03,上海复深蓝软件股份有限公司,2-2.5万·13薪,上海·徐汇区,3-4年,本科,已上市,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/127198142.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
JAVA敏捷交付经理,SGS通标标准技术服务有限公司上海分公司,3-4万,上海·徐汇区,10年以上,本科,合资,10000人以上,,http://sgs.51job.com/sc/show_job_detail.html?jobid=135837578,http://sgs.51job.com/
java开发工程师（全栈）,上海市安装工程集团有限公司,1.5-1.8万,上海,5-7年,本科,国企,1000-5000人,建筑/建材/工程,https://jobs.51job.com/shanghai/148102241.html?s=sou_sou_soulb&t=0_0&req=af3aa3ada7fa6840400bd1ecd1a2fe23,https://jobs.51job.com/all/coBGZcOFQ-DzMHZwBhBmI.html
