序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
339,Java开发工程师,江苏水迅通信息科技有限公司,南京-浦口区,民营公司,0.8-1.5万/月,本科,3-4年经验,少于50人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,11月21日
340,Java中级开发工程师,浙江一山智慧医疗研究有限公司,杭州-余杭区,民营公司,1.5-2万/月,本科,3-4年经验,5000-10000人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 周末双休 朝九晚六 股票期权,11月21日
341,Java开发工程师,广州泰迪熊科技集团有限公司,大连-高新园区,民营公司,4-7千/月,大专,1年经验,50-150人,带薪年假 购买社保 周末双休 绩效奖金,11月21日
342,Java开发工程师,南京欣威视通信息科技股份有限公司,南京-雨花台区,上市公司,1.5-2万/月,本科,1年经验,50-150人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检 专业培训,11月21日
343,Java开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-浦东新区,民营公司,1-2万/月,本科,2年经验,50-150人,五险一金 免费班车 员工旅游 专业培训 出国机会 绩效奖金 年终奖金 弹性工作 股票期权,11月21日
344,java高级开发工程师,上海东普信息科技有限公司,上海-青浦区,民营公司,2-3万/月,本科,5-7年经验,500-1000人,五险一金 餐饮补贴 绩效奖金 节日福利 带薪年假 免费班车,11月21日
345,Java开发工程师,上海臻鼎健康科技有限公司,贵阳-观山湖区,民营公司,0.8-1万/月,本科,3-4年经验,50-150人,五险一金 弹性工作 员工旅游 出国机会 绩效奖金 年终奖金 定期体检,11月21日
346,Java开发工程师,陕西中爆安全网科技有限公司,青岛-市北区,上市公司,0.8-1.5万/月,大专,1年经验,50-150人,周末双休 带薪年假 五险一金 全勤奖 节日福利 加班补贴 年度体检,11月21日
347,Java软件工程师,郑州众力信息技术有限公司,郑州-中原区,民营公司,4-6千/月,本科,1年经验,少于50人,五险一金 定期体检,11月21日
348,Java初级开发工程师,沈阳金创想系统集成有限公司,沈阳,民营公司,3-4.5千/月,本科,2年经验,50-150人,交通补贴 通讯补贴 餐饮补贴,11月21日
349,Java开发实习生,杭州友聚锐杰信息技术有限公司,杭州-西湖区,民营公司,0.6-1万/月,大专,无需经验,,,11月21日
350,全栈式JAVA开发工程师-证券业务,上海荣正投资咨询股份有限公司,上海-长宁区,民营公司,2-3.5万/月,本科,3-4年经验,50-150人,,11月21日
351,JAVA工程师,深圳市博爱网络有限公司,深圳-罗湖区,民营公司,1-1.5万/月,大专,3-4年经验,150-500人,五险一金 定期体检 绩效奖金 弹性工作,11月21日
