职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
会计,华泰永创（北京）科技股份有限公司,7千-1.2万,北京·大兴区,1年,本科,民营,150-500人,环保,https://jobs.51job.com/beijing/136518554.html?s=sou_sou_soulb&t=0_0&req=981a192f996537de361db56e945a911c,https://jobs.51job.com/all/coUjFSMwRmU2xRPVY3VzU.html
工艺工程师-北京、天津、宁波,康龙化成（北京）新药技术股份有限公司,1-2万,北京·大兴区,无需经验,硕士,合资,10000人以上,制药/生物工程,https://jobs.51job.com/beijing/148517099.html?s=sou_sou_soulb&t=0_0&req=4b386ae24e4744474aaff2c72108e99b,https://jobs.51job.com/all/coVTEGZgJjAD0FYQRj.html
Accountant/会计(北京）,北京伟嘉信经济咨询有限公司上海分公司,7.5千-1.2万,北京·朝阳区,3-4年,本科,外资（欧美）,少于50人,会计/审计,https://jobs.51job.com/beijing/147030342.html?s=sou_sou_soulb&t=0_0&req=4b386ae24e4744474aaff2c72108e99b,https://jobs.51job.com/all/coB2JVNFYyU2RVNQ1nXD8.html
高性能计算工程师（中高级）,北京阿丘机器人科技有限公司,3-6万,北京·海淀区,3-4年,硕士,外资（欧美）,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/139927313.html?s=sou_sou_soulb&t=0_0&req=451823fdcd3e033bf1938de135e9d835,https://jobs.51job.com/all/coAGBQNFExBz8AY1QzUDQ.html
喜临门东四环红星门店店员,北京巴宝莉家具有限公司,0.8-1万,北京,1年,大专,已上市,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/beijing/127497587.html?s=sou_sou_soulb&t=0_0&req=451823fdcd3e033bf1938de135e9d835,https://jobs.51job.com/all/coVTBcMQdnVmtTPgdjVjI.html
财务部秘书,北京新疆大厦,4-4.8千,北京·海淀区,1年,大专,国企,,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/148493201.html?s=sou_sou_soulb&t=0_0&req=f33f3d8f56f62009f38098cc44d74f44,https://jobs.51job.com/all/coVjcCYARkDjRVNARkVjs.html
销售经理/业务经理（北京）,深圳市大盛唐电子有限公司,1-1.5万,北京·朝阳区,5-7年,大专,民营,少于50人,,https://jobs.51job.com/beijing/145920693.html?s=sou_sou_soulb&t=0_0&req=eadcc7dacb7ae55f40b4667b1b8a3664,https://jobs.51job.com/all/coUTYBYgBlU2oCZFc9UTQ.html
UI 设计师,北京博视科技有限公司,8千-1.2万,北京·大兴区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/beijing/142744068.html?s=sou_sou_soulb&t=0_0&req=566f42e95716b24f6fa088d32ee2ad41,https://jobs.51job.com/all/coAGFXMFY3AT9SPgVlB2M.html
Moynat-店经理-北京王府中环,思琳商贸（上海）有限公司,3-3.5万·13薪,北京·朝阳区,5-7年,大专,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/beijing/148310693.html?s=sou_sou_soulb&t=0_0&req=2736d723de42992b641bf73588f69d76,https://jobs.51job.com/all/coVTAAbARiAzwAZVYyAG0.html
消防管理员,北京中都星徽物流有限公司,5-7千·14薪,北京·大兴区,3-4年,本科,国企,1000-5000人,汽车,https://jobs.51job.com/beijing/141512184.html?s=sou_sou_soulb&t=0_0&req=6d28766f49150c4630c84ab12a007a11,https://jobs.51job.com/all/coAGVcPANmDzMFaQJoBmA.html
