,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
780,海外BD,上海顶尖国际物流有限公司,8750.0,上海,5-7年,本科,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shanghai/144270467.html?s=sou_sou_soulb&t=0_0&req=f995c55ed90b559132acd36fe93d12c4,https://jobs.51job.com/all/coUzdcPwVmAjQCYFAwVjs.html
781,外贸业务员/外贸销售,上海橡华科贸有限公司,7500.0,上海·松江区,1年,本科,民营,少于50人,批发/零售,https://jobs.51job.com/shanghai/92446392.html?s=sou_sou_soulb&t=0_0&req=5cbd948ef6a49a51aa3f7523b959705a,https://jobs.51job.com/all/coAWRWOgVjBT5UNwFqUjE.html
782,产品行销经理（网通）,深圳市智微智能科技股份有限公司,16000.0,深圳·福田区,5-7年,本科,已上市,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/147786576.html?s=sou_sou_soulb&t=0_0&req=d7c57a9cd60326b75adc84f9f3854a74,https://jobs.51job.com/all/coUTUGZFY0Vm8GawFlAGQ.html
783,"Supply Chain, Inventory Supervisor AM",雅诗兰黛（上海）商贸有限公司,17500.0,上海,2年,本科,外资（欧美）,5000-10000人,,https://jobs.51job.com/shanghai/147421940.html?s=sou_sou_soulb&t=0_0&req=1fc4718dfe31c425af7439244f435f3e,https://jobs.51job.com/all/coUjUHZ1Y2DjEBZABh.html
784,瑞典汽车品牌—售后技术支持工程师,上海中智项目外包咨询服务有限公司,8750.0,上海·虹口区,5-7年,本科,国企,1000-5000人,,https://jobs.51job.com/shanghai/142314238.html?s=sou_sou_soulb&t=0_0&req=e160826d3a8ec52a7c0be905e2c0ef23,https://jobs.51job.com/all/coUjcFaQBqBj5RMgFhBmU.html
785,云基础设施架构岗,上海数据集团有限公司,51000.0,上海·黄浦区,5-7年,本科,国企,1000-5000人,,https://jobs.51job.com/shanghai/146452992.html?s=sou_sou_soulb&t=0_0&req=0c5bf2d45caf164e592ed64747b4f089,https://jobs.51job.com/all/coAWBRMAViAT0Pblc3UzY.html
786,交付运维工程师-云网络-火山引擎,字节跳动,11750.0,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/143834765.html?s=sou_sou_soulb&t=0_0&req=ac03b0dfaf8a135c57f23b8e9b6ef68f,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
787,工控安全技术及软件研发,中移互联网有限公司,9250.0,佛山·禅城区,2年,硕士,国企,1000-5000人,通信/电信/网络设备,https://jobs.51job.com/guangzhou/148362177.html?s=sou_sou_soulb&t=0_1&req=5a9f563ca3e7a6e433ca50e9db6f837c,https://jobs.51job.com/all/coB2JQPV41AT1WMgZnUz8.html
788,.NET高级开发工程师,上海维音信息技术股份有限公司,11500.0,上海·浦东新区,5-7年,本科,外资（欧美）,10000人以上,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/145501013.html?s=sou_sou_soulb&t=0_0&req=df2244d260d8f8ad6275f0a977e02b1c,https://jobs.51job.com/all/coB2NdO1UzATsPa1E7B2Q.html
789,精算经理 Actuarial Assistant Manager/Manager,友邦资讯科技（广州）有限公司,11500.0,广州,5-7年,本科,外资（非欧美）,1000-5000人,保险,https://jobs.51job.com/guangzhou/140458944.html?s=sou_sou_soulb&t=0_0&req=7bd1867cbea2e780dc6e0240154a0588,https://jobs.51job.com/all/coBGddOlE7Azg.html
790,AI算法应用工程师15-19级正编,华为技术有限公司,4500.0,深圳·福田区,5-7年,本科,民营,10000人以上,通信/电信/网络设备,https://jobs.51job.com/xian/145933083.html?s=sou_sou_soulb&t=0_0&req=67b9a0995cee88198b40ba87aed83c67,https://jobs.51job.com/all/coA2RXNgBnATgPaQJn.html
791,Project Management Specialist-PRM QP,艾默生自动化流体控制（上海）有限公司,3000.0,上海·青浦区,1年,大专,外资（欧美）,150-500人,,http://emerson.51job.com/recuit.html?jobid=148099032,http://emerson.51job.com/
792,Python软件开发工程师,广州十沣科技有限公司,15000.0,广州·黄埔区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/146643041.html?s=sou_sou_soulb&t=0_0&req=52224e999cf3ca8496c9482cc16cff90,https://jobs.51job.com/all/coA2NUOFAwATkCYVAyXD4.html
793,资深Golang开发工程师,上海互普网络科技有限公司,9000.0,上海,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/144390644.html?s=sou_sou_soulb&t=0_0&req=ee3a354c33839f9eefa52b87bd8cfca2,https://jobs.51job.com/all/coUTVVOFA6BDgHZg1r.html
794,Digital Workplace Services Manager,STMicroelectronics Ltd.,42500.0,深圳·南山区,5-7年,本科,外资（欧美）,10000人以上,,https://jobs.51job.com/shenzhen/143926635.html?s=sou_sou_soulb&t=0_0&req=dd766ba38f1fae299871b179f2ce3382,https://jobs.51job.com/all/coBmVWNAdkUWhWN1AyAWU.html
795,Java开发工程师,广东亚太天能科技股份有限公司,12500.0,广州·番禺区,3-4年,本科,已上市,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/guangzhou/146448260.html?s=sou_sou_soulb&t=0_0&req=381a1933faafd23b76cdce00296c9a3b,https://jobs.51job.com/all/coAGQBYARiUmVWO1E0B2o.html
796,SRE 运维研发工程师,字节跳动,4500.0,广州,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/132622345.html?s=sou_sou_soulb&t=0_0&req=c1feef190131cb2bffefb509593af9ec,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
797,海外GTM经理,深圳市英迈通信技术有限公司,11500.0,深圳·福田区,2年,大专,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/147850816.html?s=sou_sou_soulb&t=0_0&req=5aae3c06ccf02d8e4ef66033941696f0,https://jobs.51job.com/all/coBWBUMwJgBjECZwFjXDE.html
798,区块链开发工程师,杭州链杉经济信息咨询有限公司,3750.0,上海·浦东新区,3-4年,本科,民营,少于50人,,https://jobs.51job.com/shanghai/141742493.html?s=sou_sou_soulb&t=0_0&req=3efc533b3ea7564b9e285a7f2666cec1,https://jobs.51job.com/all/coBGdcMFc1VmsPYg1oBmA.html
799,统计经理(J10168),科济生物医药（上海）有限公司,3900.0,上海·徐汇区,5-7年,硕士,合资,150-500人,制药/生物工程,https://jobs.51job.com/shanghai/147866644.html?s=sou_sou_soulb&t=0_0&req=09360134dec3576b0c30ec38a7fe7dfc,https://jobs.51job.com/all/coAWRSMFA2AzQDZAxuBmQ.html
