,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
4139,薪酬福利主管（C&B）,南京金斯瑞生物科技有限公司,8750.0,南京·江宁区,3-4年,本科,外资（非欧美）,1000-5000人,,https://jobs.51job.com/nanjing/143278836.html?s=sou_sou_soulb&t=0_0&req=c0094a82de985cac6b5632fb79ce35ef,https://jobs.51job.com/all/coUTYGYwJpDjVWMwRnXDw.html
4140,QT C/C++ 开发工程师,青岛峻海物联科技有限公司,8750.0,青岛·市南区,3-4年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/qingdao/145647000.html?s=sou_sou_soulb&t=0_0&req=ecc34b6ad2e6a97a23392a027979ec8a,https://jobs.51job.com/all/coBWZUN1Y9BT0EZA1rAWM.html
4141,Linux 应用开发工程师（C/C++ 方向）,皇虎测试科技（深圳）有限公司,7200.0,深圳·南山区,5-7年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/shenzhen/146675475.html?s=sou_sou_soulb&t=0_0&req=fee65528e4fc3ab3522be55e39c50626,https://jobs.51job.com/all/coBmZWOlAzDjQAYFQ_XT0.html
4142,C/C++开发工程师,上海申隆计算机技术有限公司,11500.0,上海·浦东新区,1年,本科,民营,50-150人,计算机硬件,https://jobs.51job.com/shanghai/106152671.html?s=sou_sou_soulb&t=0_0&req=5b23e70c7974ceff3b0e4f2d0f6be829,https://jobs.51job.com/all/coBWYAZVM5Bj5SP1czVDc.html
4143,招客运商务C证司机免费住宿,苏州微微行汽车服务有限公司,12500.0,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/shanghai/140446612.html?s=sou_sou_soulb&t=0_0&req=5b23e70c7974ceff3b0e4f2d0f6be829,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
4144,软件工程师（C/C++方向）,皇虎测试科技（深圳）有限公司,15000.0,深圳·南山区,2年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/shenzhen/147796552.html?s=sou_sou_soulb&t=0_0&req=927e2598d6866a6d9e6ab6bd7a7862e3,https://jobs.51job.com/all/coBmZWOlAzDjQAYFQ_XT0.html
4145,C/C++软件工程师,深圳市世椿智能装备股份有限公司,8750.0,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=671132b8d3cd8eaa697e2a6660491d70,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
4146,高级销售主任——C-Touch,励展博览集团,9000.0,上海,2年,本科,外资（欧美）,500-1000人,公关/市场推广/会展,https://jobs.51job.com/shanghai/148412479.html?s=sou_sou_soulb&t=0_0&req=cc373d07c19d39172189e8f63b137f39,https://jobs.51job.com/all/coVDACYVE6UWdTNFQ3AWM.html
4147,C/C++开发工程师,上海申隆计算机技术有限公司,11500.0,上海·浦东新区,1年,本科,民营,50-150人,计算机硬件,https://jobs.51job.com/shanghai/106152671.html?s=sou_sou_soulb&t=0_0&req=0146ee0417fe69d0e02953ecdf87c9d2,https://jobs.51job.com/all/coBWYAZVM5Bj5SP1czVDc.html
4148,C照疏通管道师傅,四川德源市政工程有限公司,7500.0,成都·高新区,2年,,民营,50-150人,建筑/建材/工程,https://jobs.51job.com/chengdu/138180238.html?s=sou_sou_soulb&t=0_0&req=c4285b88d4b520f38860fa9965644e68,https://jobs.51job.com/all/coUTJRNF88UmkFZAZtBWc.html
