职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Python开发工程师,北京聚源锐思数据科技有限公司,8千-1.2万·13薪,北京,2年,本科,民营,50-150人,金融/投资/证券,https://jobs.51job.com/beijing/146155105.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coUzcCZgJgBToAYwVnAmY.html
Python开发工程师,中讯志远（武汉）科技有限公司,1-1.5万,上海·徐汇区,3-4年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/118738439.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coVDFQMlY1AToCYwVnVDg.html
Python开发工程师,深圳市紫川软件有限公司,1-1.6万,深圳·南山区,3-4年,大专,民营,500-1000人,,https://jobs.51job.com/shenzhen/146857505.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coBGNVNVMzUW8GYAVkBWk.html
Python爬虫工程师（跨境电商）,深圳市九行星科技有限公司,9千-1.2万,深圳·龙华区,1年,本科,民营,500-1000人,贸易/进出口,https://jobs.51job.com/shenzhen/148273232.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coVjZdO1M3VmAPYw1vAWc.html
存储开发（Python）,新华三技术有限公司,1.5-3万·14薪,成都·双流区,2年,本科,合资,10000人以上,通信/电信/网络设备,http://companyads.51job.com/companyads/2022/bj/h3c/details.html#145153693,http://companyads.51job.com/companyads/2022/bj/h3c/index.html
Python开发工程师,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shijiazhuang/140831599.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
Python数据专员/高薪双休,广州博锐信息技术有限公司,7-9千,广州·白云区,无需经验,本科,民营,50-150人,,https://jobs.51job.com/guangzhou/142576280.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coVTQGYFE7Az1TMgNnAWM.html
Python开发工程师,广州市鼎源信息技术有限公司,8千-1万,广州·越秀区,2年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/guangdongsheng/101114437.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coUzFSMFE2UmVWNwFgXTw.html
Python开发工程师,京北方信息技术股份有限公司广州分公司,1.5-1.8万,广州·番禺区,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/147136004.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coAmZXNFc9BzoAbFQzUTU.html
Python开发工程师,广州中隐丰约投资咨询有限公司,15-25万/年,上海,3-4年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/146336042.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coAmcGZQRiDjJUNlY0VjI.html
技术支持工程师（Python开发）,北京智库泉数据处理有限责任公司,1-1.2万,北京·海淀区,1年,本科,国企,50-150人,,https://jobs.51job.com/beijing/147789764.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coAWUBYV88VWxSPgViVjc.html
python工程师（后台）,广东择才猫科技有限公司,1.2-2.4万,东莞·南城区,3-4年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/148329100.html?s=sou_sou_soulb&t=0_1&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coCWhTN187UmgAZQJoXDA.html
