职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
高级Java开发工程师,广州美盈智能科技有限公司,1.5-2万·13薪,广州·天河区,5-7年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/148540474.html?s=sou_sou_soulb&t=0_0&req=8e90a34c2452665243190af048d87258,https://jobs.51job.com/all/coVTVRN1A3UWwHZQJhVDM.html
11611G-资深Java开发工程师,平安科技（深圳）有限公司,1.5-2万,成都·锦江区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/chengdu/146858127.html?s=sou_sou_soulb&t=0_0&req=65ea9d0bd9cc4fdfbce8c64b5adf4886,https://jobs.51job.com/all/coBWFQNVA2DjUAYwZiBWg.html
Java高级开发工程师,成都卓远信息技术有限公司,1.5-2.5万,成都·高新区,5-7年,本科,民营,150-500人,环保,https://jobs.51job.com/chengdu/126214663.html?s=sou_sou_soulb&t=0_0&req=6973f5b0d39797de82fda2a22ad639c6,https://jobs.51job.com/all/coCWwFYFIwVm1UOQRiUjI.html
Java开发,广州友地信息技术有限公司,1.2-1.6万,广州·海珠区,3-4年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/147159173.html?s=sou_sou_soulb&t=0_0&req=73c13278560a9fdd12f5c099f34a4c61,https://jobs.51job.com/all/coBWdVMgBlBjFUNAVuUDE.html
Java软件工程师,知羽（广东）科技有限公司,8千-1.6万,广州·天河区,1年,本科,民营,150-500人,法律,https://jobs.51job.com/guangzhou/148473101.html?s=sou_sou_soulb&t=0_0&req=86c9fb00ecdaf6e9706713645c11eeac,https://jobs.51job.com/all/coB2YAZl8_AzUPblEyVjs.html
Java开发工程师,开普数智科技（广东）有限公司,1.2-1.8万,广州·天河区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/143031622.html?s=sou_sou_soulb&t=0_0&req=86c9fb00ecdaf6e9706713645c11eeac,https://jobs.51job.com/all/coCGhVN1E1AzgGY1E7VTg.html
Java开发工程师,智诚计算机辅助设计（深圳）有限公司,1-2万·13薪,深圳·罗湖区,2年,大专,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/shenzhen/148314780.html?s=sou_sou_soulb&t=0_0&req=86c9fb00ecdaf6e9706713645c11eeac,https://jobs.51job.com/all/coB2hUNgVjBDhWN1M0.html
高级Java开发工程师,上海恒顺旅行（集团）有限公司,1.5-2.5万,上海·徐汇区,5-7年,大专,民营,150-500人,酒店/旅游,https://jobs.51job.com/shanghai/130723272.html?s=sou_sou_soulb&t=0_0&req=86c9fb00ecdaf6e9706713645c11eeac,https://jobs.51job.com/all/coBGBQMVQ2AzRUNQViAmE.html
Java开发工程师,上海旋荣科技股份有限公司,1-1.6万,上海·黄浦区,2年,本科,已上市,50-150人,多元化业务集团公司,https://jobs.51job.com/shanghai/147078982.html?s=sou_sou_soulb&t=0_0&req=229d7d705f1e75d75237515786c07b49,https://jobs.51job.com/all/coBGFSP1c2DzYPaw1mBmY.html
高级Java开发工程师（珠海）,广州南天电脑系统有限公司,1.5-2.5万,珠海·香洲区,5-7年,本科,已上市,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/134214588.html?s=sou_sou_soulb&t=0_1&req=330ff5d41b0357069073317daaeb239e,https://jobs.51job.com/all/coBmJSMVY3VGtTNFMzAGE.html
Java开发工程师,上海碳索能源环境服务有限公司,21-35万/年,上海·闵行区,3-4年,本科,民营,150-500人,环保,https://jobs.51job.com/shanghai/129183067.html?s=sou_sou_soulb&t=0_0&req=73c13278560a9fdd12f5c099f34a4c61,https://jobs.51job.com/all/coVDBWNANmAjsDZARiVjM.html
Java开发工程师,广东亚太天能科技股份有限公司,1-1.5万,广州·番禺区,3-4年,本科,已上市,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/guangzhou/146448260.html?s=sou_sou_soulb&t=0_0&req=370066f442bf1cda20e649fa07a0620a,https://jobs.51job.com/all/coAGQBYARiUmVWO1E0B2o.html
Java开发工程师,上海复深蓝软件股份有限公司,1.1-1.8万·13薪,北京·丰台区,3-4年,大专,已上市,1000-5000人,计算机软件,https://jobs.51job.com/beijing/145442934.html?s=sou_sou_soulb&t=0_0&req=86c9fb00ecdaf6e9706713645c11eeac,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
Java/.NET开发工程师（会日语优先）,海隆软件（昆山）有限公司,8千-1.5万,昆山,3-4年,大专,已上市,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/56779626.html?s=sou_sou_soulb&t=0_1&req=5b8978fc8ec0a6f453120a744aa65da8,https://jobs.51job.com/all/coAWRRNVc3BTwEYQxpAGc.html
JAVA技术员,鼎一在线科技（北京）有限公司,7-8千·13薪,北京·昌平区,无需经验,本科,民营,,计算机软件,https://jobs.51job.com/beijing/146836529.html?s=sou_sou_soulb&t=0_0&req=00f49ff72095878fe5556366e86d07a1,https://jobs.51job.com/all/coUTAGZABlBz4DYFEyBWg.html
对日JAVA开发工程师,上海网擎信息系统有限公司,1.7-3.4万,上海·杨浦区,3-4年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/tianjin/143165810.html?s=sou_sou_soulb&t=0_0&req=6973f5b0d39797de82fda2a22ad639c6,https://jobs.51job.com/all/coB2ZSNVI2BTpSNAFnVjA.html
初级Java开发工程师,上海天籍信息科技有限公司,6千-1万,上海,1年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/shanghai/141274875.html?s=sou_sou_soulb&t=0_0&req=4a4ad8d7551264897cfd692f19ee642e,https://jobs.51job.com/all/coAmZRMFIyDzNUNA1uXDw.html
Java初级开发工程师,中能锐赫科技（北京）股份有限公司,8千-1.5万,北京·海淀区,1年,本科,民营,少于50人,,https://jobs.51job.com/beijing/138104648.html?s=sou_sou_soulb&t=0_0&req=4a4ad8d7551264897cfd692f19ee642e,https://jobs.51job.com/all/coVTVdP1I5BzxVMFY0VDk.html
Java开发,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/chengde/141154220.html?s=sou_sou_soulb&t=0_0&req=5b8978fc8ec0a6f453120a744aa65da8,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
Java开发工程师（流程与信息）(J10738),深圳传音控股股份有限公司,1.5-2万·14薪,深圳·南山区,3-4年,本科,民营,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/148082727.html?s=sou_sou_soulb&t=0_0&req=229d7d705f1e75d75237515786c07b49,https://jobs.51job.com/all/coBWFQMF47BT1WMQBnBms.html
java服务端程序（4年经验）,上海成蹊信息科技有限公司,2-3万,上海·徐汇区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/137569464.html?s=sou_sou_soulb&t=0_0&req=330ff5d41b0357069073317daaeb239e,https://jobs.51job.com/all/coBGECZF81BzgAZgJlAWY.html
高级JAVA工程师,伺动营销科技(上海)有限公司,16-26万/年,上海·静安区,3-4年,本科,外资（非欧美）,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/107637950.html?s=sou_sou_soulb&t=0_0&req=73c13278560a9fdd12f5c099f34a4c61,https://jobs.51job.com/all/coB2ACZVIzADZRPAxqUzU.html
java开发工程师,成都布络软件技术有限公司,6千-1.2万,成都·高新区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/chengdu/141447126.html?s=sou_sou_soulb&t=0_0&req=370066f442bf1cda20e649fa07a0620a,https://jobs.51job.com/all/coB2NRM18_DzlVMQxoVjY.html
Java开发工程师.,大连亿达信息技术有限公司深圳分公司,1.3-2万,广州·天河区,3-4年,大专,民营,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/142848917.html?s=sou_sou_soulb&t=0_0&req=2d5ac81270b2571750ee86cdf67903ce,https://jobs.51job.com/all/coCW1UNFMxBToCYQFjUTM.html
Java开发工程师-PD,中通服软件科技有限公司,1-1.5万,上海·浦东新区,2年,本科,合资,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/147067550.html?s=sou_sou_soulb&t=0_0&req=3c89c11b469b0ed1c18fb1a0edf39bda,https://jobs.51job.com/all/coB2NdPFYwAj0CZlc3VjA.html
Java开发工程师,北京网安通达科技有限公司,8千-1.5万·13薪,北京·昌平区,1年,大专,民营,,计算机软件,https://jobs.51job.com/chengde/146260507.html?s=sou_sou_soulb&t=0_0&req=00f49ff72095878fe5556366e86d07a1,https://jobs.51job.com/all/coVDUBYF87Az1WMAJgUTA.html
Java开发工程师,广东华际友天信息科技有限公司,1.5-2.2万,北京,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/beijing/144077449.html?s=sou_sou_soulb&t=0_0&req=6973f5b0d39797de82fda2a22ad639c6,https://jobs.51job.com/all/coBWEFYVIzUm0FYVY3.html
Java开发工程师,广州火鹰信息科技有限公司,9千-1.5万,广州·番禺区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/144653894.html?s=sou_sou_soulb&t=0_0&req=4a4ad8d7551264897cfd692f19ee642e,https://jobs.51job.com/all/coUjZWNlU1Aj5UOQ1vVzo.html
Java开发工程师,京北方信息技术股份有限公司广州分公司,1.2-1.8万,广州·天河区,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/140736684.html?s=sou_sou_soulb&t=0_0&req=5b8978fc8ec0a6f453120a744aa65da8,https://jobs.51job.com/all/coAmZXNFc9BzoAbFQzUTU.html
Java工程师,上海爽勤信息技术有限公司,1.3-1.5万,上海·浦东新区,3-4年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/148557686.html?s=sou_sou_soulb&t=0_0&req=ac3be13ae8bb4705cc20c868060d9bce,https://jobs.51job.com/all/coA2ICYlcxVmtRMgFjBWM.html
中级Java开发工程师,颐家（广东）医疗养老有限公司,1.2-1.4万,广州·越秀区,3-4年,本科,民营,500-1000人,生活服务,https://jobs.51job.com/guangzhou/147807937.html?s=sou_sou_soulb&t=0_0&req=ba005c15d49d6df59a36307b0dbb90a3,https://jobs.51job.com/all/coUzBRNFMzBDkAbFAwVDc.html
全栈工程师（JAVA）,深圳市中联展产业运营有限公司,1.8-2.3万,深圳·龙岗区,5-7年,大专,民营,50-150人,,https://jobs.51job.com/shenzhen/148040206.html?s=sou_sou_soulb&t=0_0&req=ca28a45e7acaaf9c55af7f8507ea5b39,https://jobs.51job.com/all/coVDUGYVQwVW9SPgVkUTc.html
Java开发工程师,北京网安通达科技有限公司,8千-1.5万·13薪,北京·昌平区,1年,大专,民营,,计算机软件,https://jobs.51job.com/baoding/146260505.html?s=sou_sou_soulb&t=0_0&req=2d5ac81270b2571750ee86cdf67903ce,https://jobs.51job.com/all/coVDUBYF87Az1WMAJgUTA.html
前端开发/PHP[网站/JAVA工程师,广州瑞丰生物科技有限公司,6千-1.2万,广州·增城区,5-7年,大专,民营,50-150人,农/林/牧/渔,https://jobs.51job.com/guangzhou/116911214.html?s=sou_sou_soulb&t=0_0&req=229d7d705f1e75d75237515786c07b49,https://jobs.51job.com/all/coCWtXNlQxBztRMQxrXTg.html
Java开发工程师（短信系统）,上海摩必软件科技有限公司,7千-1万·13薪,上海·徐汇区,1年,大专,合资,50-150人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/141739442.html?s=sou_sou_soulb&t=0_0&req=330ff5d41b0357069073317daaeb239e,https://jobs.51job.com/all/coVTVSMVM5BjkGYFQ2UjI.html
Java开发工程师,深圳市步壹软件有限公司,1-1.8万,深圳·宝安区,3-4年,本科,民营,少于50人,,https://jobs.51job.com/shenzhen/140115860.html?s=sou_sou_soulb&t=0_0&req=73c13278560a9fdd12f5c099f34a4c61,https://jobs.51job.com/all/coAGFdOFQ1UmwFZAxnVTM.html
PHP(或JAVA）开发工程师,广州如约数据科技有限公司,1.2-1.8万·13薪,广州·荔湾区,5-7年,本科,国企,50-150人,交通/运输/物流,https://jobs.51job.com/guangzhou/147286516.html?s=sou_sou_soulb&t=0_0&req=370066f442bf1cda20e649fa07a0620a,https://jobs.51job.com/all/coVTddOV8_ATkDZQdlVDY.html
Java高级开发工程师,广东高捷航运物流有限公司,1.5-2万,广州,3-4年,本科,民营,500-1000人,贸易/进出口,https://jobs.51job.com/guangzhou/147850244.html?s=sou_sou_soulb&t=0_0&req=5b8978fc8ec0a6f453120a744aa65da8,https://jobs.51job.com/all/coA2dSN141DjEGZwVvBWg.html
Java软件工程师,合力工业车辆（上海）有限公司,8.5千-1.7万,上海·杨浦区,2年,本科,国企,1000-5000人,,https://jobs.51job.com/shanghai/136561291.html?s=sou_sou_soulb&t=0_0&req=eb41425f9e03079a43cd9dc5a274ef9d,https://jobs.51job.com/all/coA2FXMAdsADYGY1E3XD8.html
JAVA技术员,鼎一在线科技（北京）有限公司,7-8千·13薪,北京·昌平区,无需经验,本科,民营,,计算机软件,https://jobs.51job.com/beijing/147158036.html?s=sou_sou_soulb&t=0_0&req=eb41425f9e03079a43cd9dc5a274ef9d,https://jobs.51job.com/all/coUTAGZABlBz4DYFEyBWg.html
