,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
694,资深信息安全工程师（主任/科长级）,上海集成电路装备材料产业创新中心有限公司,3750.0,上海,10年以上,本科,国企,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/141386674.html?s=sou_sou_soulb&t=0_0&req=2f3e59746aeab40ade2525025ab56664,https://jobs.51job.com/all/coA2ABbARgVGoPaVc0XDA.html
695,服务端开发工程师,字节跳动,12000.0,广州,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/130247481.html?s=sou_sou_soulb&t=0_0&req=b52108d8750d1cf3bbff00dc9ccf3f0d,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
696,Java开发工程师,深圳金亚太科技有限公司,9100.0,深圳·南山区,3-4年,大专,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/140529865.html?s=sou_sou_soulb&t=0_0&req=b52108d8750d1cf3bbff00dc9ccf3f0d,https://jobs.51job.com/all/coVDddOQBmAT4HYVE6XTE.html
697,数据库技术方向1562,中国民航信息网络股份有限公司,4000.0,北京·顺义区,1年,本科,国企,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/140216191.html?s=sou_sou_soulb&t=0_0&req=b52108d8750d1cf3bbff00dc9ccf3f0d,https://jobs.51job.com/all/coBWFQM14_UmgCblY0UTI.html
698,服务器运维工程师,NTT通信系统（中国）有限公司,16000.0,上海·黄浦区,3-4年,大专,外资（非欧美）,150-500人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/142644749.html?s=sou_sou_soulb&t=0_0&req=e35cf983eac11ac7e2a858e7018b6dbe,https://jobs.51job.com/all/coAmcCYlYzAjwFaQZmBmE.html
699,对象存储研发工程师,字节跳动,5250.0,深圳,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/104767162.html?s=sou_sou_soulb&t=0_0&req=b7b66181c040456b100bc8e9790cd9b4,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
700,高级产品经理-飞书零代码/低代码业务（LowCode）,字节跳动,3250.0,北京,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/146038798.html?s=sou_sou_soulb&t=0_0&req=6bb9004842efee2e1722636f23dcb542,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
701,小程序开发工程师,广州每日物流管理技术有限公司,9000.0,广州,2年,大专,民营,少于50人,交通/运输/物流,https://jobs.51job.com/guangzhou/134120480.html?s=sou_sou_soulb&t=0_0&req=d727a597a859bf27a6fc755a07ab5508,https://jobs.51job.com/all/coAGRWNgJiDzIHYFQ1BmY.html
702,抖音直播社区服务端负责人,字节跳动,5000.0,广州,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/138918407.html?s=sou_sou_soulb&t=0_0&req=5e08727d55c688cb8fe11aa4060371f2,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
703,安全渗透工程师,格尔软件股份有限公司,11500.0,上海·静安区,3-4年,本科,已上市,500-1000人,互联网/电子商务,https://jobs.51job.com/shanghai/147910656.html?s=sou_sou_soulb&t=0_0&req=432c64ca2e231374a7ad0e383e4d72d1,https://jobs.51job.com/all/coCG9QNgdtATcFYFcx.html
704,网络工程师(IT工程师),国能思达科技有限公司,10000.0,北京·海淀区,3-4年,本科,国企,1000-5000人,新能源,https://jobs.51job.com/beijing/145253506.html?s=sou_sou_soulb&t=0_0&req=81d09482f081a6e5d3a0c53a6a7ac0f6,https://jobs.51job.com/all/coUjYAbVUyUmtRMlcwVjs.html
705,解决方案研发工程师-飞书（上海）,字节跳动,3500.0,上海,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/144350086.html?s=sou_sou_soulb&t=0_0&req=f5decf4297e82d2321a63ac91818c98c,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
706,PHP开发工程师,广州市格利网络技术有限公司,12500.0,广州·荔湾区,3-4年,大专,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/guangzhou/112399494.html?s=sou_sou_soulb&t=0_0&req=6bd684a02409c2f0f6cba4180dd91d7b,https://jobs.51job.com/all/coCWxVN1IzAjlVNlM4UTQ.html
707,PHP开发工程师,沃企信息科技（上海）有限公司,16000.0,广州·番禺区,3-4年,本科,民营,,计算机软件,https://jobs.51job.com/guangzhou/140713386.html?s=sou_sou_soulb&t=0_0&req=883cee77bb1090ee1167e1a1b6d256e9,https://jobs.51job.com/all/coAmJSM1Q_VWoEZg1tVDc.html
708,软件工程师,天津池边树科技有限公司,9000.0,深圳·福田区,2年,本科,民营,,计算机软件,https://jobs.51job.com/shenzhen/147780265.html?s=sou_sou_soulb&t=0_0&req=7929f09882e236829b42a842f7516da3,https://jobs.51job.com/all/coUzJdO1MwDzdVNlc9VDg.html
709,PHP工程师,上海赢他网络科技有限公司,8750.0,广州·番禺区,3-4年,本科,合资,150-500人,贸易/进出口,https://jobs.51job.com/guangzhou/147891229.html?s=sou_sou_soulb&t=0_0&req=b190d1af8d5cb4297de6cd67fa236d80,https://jobs.51job.com/all/coBmNcMFE0ADdSNVMyBmI.html
